นิติบุคคลจัดตั้งเดือนเมษายน  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน", ทุนจดทะเบียน ,รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
89,0123558001736,หจ.ตอม่อ ก่อสร้าง,8/4/2558," 1,000,000 ",ประกอบกิจการซื้อมาขายไปวัสดุก่อสร้าง และให้บริการรับเหมาก่อสร้างทุกประเภท,2/606 หมู่ที่ 13  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
90,0123558001744,หจ.โอ.เอ็น. คอนเซาท์ แอนด์ คอนสตรัคชั่น,8/4/2558," 1,000,000 ",กิจการการก่อาร้าง รับเหมาก่อสร้างอาคาร,219/311 หมู่บ้านอักษร หมู่ที่ 1 ถนนบางกรวย-ไทรน้อย  ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110
91,0123558001752,หจ.เอส เอส เค อิเลคทริค,8/4/2558," 1,000,000 ",รับทำระบบไฟฟ้า ไฟฟ้าโรงงาน อาคารสถานที่พักอาศัย,220/32 หมู่ที่ 3  ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110
92,0123558001761,หจ.พีทูเอ็น ดีไซน์ แอนด์ บิลดิ้ง,9/4/2558," 1,000,000 ",รับเหมาก่อสร้างทุกชริด,69/95 หมู่ที่ 5  ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110
93,0123558001841,หจ.ศรีสวัสดิ์พาณิชย์,9/4/2558," 1,000,000 ",ประกอบกิจการตัดเย็บเสื้อผ้าและเครื่องประกอบเครื่องแต่งกายทุกชนิด,1/466 หมู่ที่ 12  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
94,0123558001906,หจ.ธรรมโรจน์ เมทัล เทรด,16/4/2558," 1,000,000 ",รับซื้อขายชิ้นส่วนโลหะและอโลหะ สแตนเลส ทองแดง กระดาษ พลาสติก ใช้แล้วเพื่อนำไปแปรรูปกลับมาใช้ใหม่,100/571 ถนนบางกรวย-ไทรน้อย  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
95,0125558008406,บจ.เพอร์เฟ็คท์ คอนสตรัคชั่น คอร์ปอเรชั่น จำกัด,1/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาต่อเติมอาคารทุกประเภท,14/3366 หมู่ที่ 14  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
96,0125558008511,บจ.ฟาร์มาด็อกเตอร์ จำกัด,2/4/2558," 1,000,000 ",ประกอบกิจการรับเป็นที่ปรึกษาให้คำแนะนำ ด้านบริหารงานพาณิชยกรรม,98/21 หมู่บ้านพฤษาวิลเลจ 31 หมู่ที่ 4  ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110
97,0125558008597,บจ.เจ็ดสี ดริ้งกิ้ง วอเตอร์ จำกัด,3/4/2558," 1,000,000 ",ประกอบกิจการผลิต ขายปลีกขายส่งน้ำดื่ม น้ำแข็ง น้ำผลไม้,179/14 หมู่ที่ 5  ต.โสนลอย อ.บางบัวทอง จ.นนทบุรี 11110
98,0125558008635,บจ.ดีด้าร์ เดคคอร์ จำกัด,3/4/2558," 1,000,000 ",ขายให้บริการติดตั้งคิ้วบัว ปูนปั้น ตัวอาคารที่พักอาศัย อาคารสำนักงาน และแผ่นคอนกรีตอัดสำเร็จรูป,95/10 หมู่ที่ 7 ถนนตลิ่งชัน-สุพรรณบุรี  ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110
99,0125558008708,บจ.ควอลิเทค แอนด์ เซฟตี้ ดีเวลลอปเม้นท์ จำกัด,7/4/2558," 1,000,000 ",ที่ปรึกษา จัดอบรม สัมมนา บริหรจัดการระบบคุณภาพ ระบบความปลอดภัยเครื่องจักรโรงงานต่างๆ,98/714 หมู่ที่ 11  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
100,0125558008741,บจ.ซัคเซส มาสเตอร์มายด์ จำกัด,7/4/2558," 1,000,000 ",บริการฝึกอบรมในทุกๆด้าน ให้แก่บุคคลทั่วไปและองค์กรต่างๆ,206/154 หมู่บ้านชัยพฤกษ์-บางบัวทอง หมู่ที่ 1  ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110
101,0125558008759,บจ.มภัสกาญ คอนสตรัคชั่น 2015 จำกัด,7/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพาน เขื่อน อุโมงค์,198/61 หมู่ที่ 13  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
102,0125558008791,บจ.เวิลด์ ออฟ โคนส์ จำกัด,7/4/2558," 1,000,000 ",ประกอบกิจการร้านอาหาร จำหน่ายอาหารและเครื่องดื่มที่มีแอลกฮอล์และไม่มีแอลกฮอล์,89/83 หมู่ที่ 4  ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110
103,0125558009011,บจ.หมื่นพัน พฤกษากรีน จำกัด,9/4/2558," 1,000,000 ",ประกอบกิจการให้บริการ รับออกแบบจัดสวน ติดตั้งระบบรดน้ำ ปลบูกต้นไม้ ดูแลรักษาสวน,29/87 หมู่ที่ 4  ต.ลำโพ อ.บางบัวทอง จ.นนทบุรี 11110
104,0125558009127,บจ.วัฒนาไพศาล จำกัด,9/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายอุปกรณ์อะไหล่รถยนต์,107/134 หมู่ที่ 6  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
105,0125558009224,บจ.เค แอนด์ พี ไฮดรอลิค จำกัด,9/4/2558," 1,000,000 ",ประกอบกิจการค้า ระบบไฮโดรลิค,58/6 หมู่ที่ 8  ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110
106,0125558009232,บจ.สุธน เอ็นจิเนียริ่ง ซัพพลาย จำกัด,10/4/2558," 1,000,000 ",ประกอบกิจการบริการติดตั้งไฟฟ้าระบบท่อและสิ่งก่อสร้างอื่นๆ และขายอุปกรณ์สำหรับให้แสงสว่าง,107/204 หมู่ที่ 4  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
107,0125558009259,บจ.ปิติรุ่งเรืองพัฒนา จำกัด,10/4/2558," 1,000,000 ",ประกอบกิจการ ขายปลีกส่ง อุปกรณ์สำหรับดูแลบำรุงรักษาเครื่องยนต์ รถยนต์ ทุกชนิด,99/9 หมู่ที่ 11  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
108,0125558009267,บจ.อินเตอร์ แอคเซส จำกัด,10/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายเครื่องจักร เครื่องมือ อุปกรณ์และวัสดุในการพิมพ์,89/77 หมู่ที่ 3 ถนนบางกรวย-ไทรน้อย  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
109,0125558009321,บจ.ไอซ์ แอนด์ คูล (1999) จำกัด,10/4/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่าย แอร์ เครื่องทำน้ำแข็ง เครื่องทำความเย็น เครื่องทำน้ำเย็น ทุกชนิด,90/9 หมู่ที่ 3  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
110,0125558009372,บจ.บ้านและน้ำ คอนสตรัคชั่น จำกัด,16/4/2558," 1,000,000 ",รับเหมาก่อสร้าง งานวางระบบสาธาณูปโภค ซ่อมแซมตกแต่งและต่อเติม บ้าน อาคาร อาคารโรงงาน,179/486 หมู่ที่ 7  ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110
111,0125558009429,บจ.ดอลลาร์ แอนด์ ทรัมป์ จำกัด,16/4/2558," 1,000,000 ",ให้บริการเปิดร้านค้าบน โปรแกรมคอมพิวเตอร์ (แอพพลิเคชั่น)โดยเก็บค่าบบริการ จัดหาสินค้าและบริการสำหรับ,100/337 หมู่บ้านชัยพฤกษ์ หมู่ที่ 8  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
112,0125558009461,บจ.บีทีเจ โอห์ม คอนสตรัคชั่น แอนด์ ซัพพลาย จำกัด,17/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างบ้าน,90/61 หมู่ที่ 3  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
113,0125558009593,บจ.เมฆาเจริญ คอนสตรัคชั่น จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,87/188 หมู่ที่ 6  ต.บางรักใหญ่ อ.บางบัวทอง จ.นนทบุรี 11110
114,0125558009615,บจ.เจ.เอส.เค.ลอว์ จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการให้คำปรึกษาด้านกฎหมาย ฟ้อง บังคับคดี เร่งรัดหนี้สิน,190/51 หมู่ที่ 2 ถนนละหาร-ลำโพ  ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110
115,0125558009623,บจ.เพชรเจริญทรัพย์ รีไซเคิล จำกัด,21/4/2558," 1,000,000 ",ประกอบกิขการค้า รับซื้อ ขาย ของเก่าทุกชนิด,88/9 หมู่ที่ 9  ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110
116,0125558009666,บจ.เบสท์โฮมพร๊อพเพอร์ตี้ จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการอสังหาริมทรัพย์ ได้แก่ บ้าน คอนโด ที่อยู่อาศัย ที่ดินเปล่า อพาร์ทเม้นท์ อาคารสำนักงาน,141/14 หมู่ที่ 7  ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110
117,0125558009682,บจ.ทินเทค แฟบบริเคชั่น จำกัด,21/4/2558," 1,000,000 ",การผลิตประตูหน้าต่างกรอบประตูหน้าต่างประตูใหญ่และผลิตภัณฑ์ที่คล้ายกันที่ทำจากโลหะ,109/8 หมู่บ้านเดอะโมดิช หมู่ที่ 5  ต.ลำโพ อ.บางบัวทอง จ.นนทบุรี 11110
118,0125558009691,บจ.พาโท โปรดักชั่น จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับการผลิต ออกแบบ จำหน่าย ให้เช่า สื่อโฆษณา ทุกชนิด ทุกประเภท,105/268 หมู่ที่ 6  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
119,0125558009704,บจ.คชาทัช แอ็ดไวเซอร์ จำกัด,21/4/2558," 1,000,000 ",รับเป็นที่ปรึกษา ให้ความรู้และให้คำแนะนำด้านการขาย บริหารงานและพัฒนาคุณภาพบุคลากรขาย,199/47 หมู่ที่ 2  ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110
120,0125558009712,บจ.เจ อาร์ ที ออโต้พาร์ท จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการนำเข้า และจำหน่ายอะไหล่และอุปกรณ์ของรถยนต์,38/74 หมู่ที่ 3  ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110
121,0125558009721,บจ.888 ดีไซน์ จำกัด,21/4/2558," 1,000,000 ",ประกอบกิจการรับจ้างทำป้ายโฆษณา ตัดสติกเกอร์ รับจ้างพิมพ์ทุกชนิด และรับออกแบบทำโฆษณาทุกชนิด,88/4-5 หมู่ที่ 1 ถนนบางกรวย-ไทรน้อย  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
122,0125558009771,บจ.เฮลท์ เมคเกอร์ เอนเตอร์ไพรส์ จำกัด,22/4/2558," 1,000,000 ",ค้าและซ่อมแซม เครื่องมือทางการแพทย์ และอุปกรณ์ทางการแพทย์ที่ใช้เกี่ยวกับงานด้านสาธารณสุขทั้งในโรงพยา,98/179 หมู่บ้านพฤกษาวิลเลจ 31 หมู่ที่ 4  ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110
123,0125558009780,บจ.บี-ไซน์ อินทีเรีย จำกัด,22/4/2558," 1,000,000 ",ประกอบกิจการผลิตและขายเฟอร์นิเจอร์ทุกชขนิด,100/62 หมู่ที่ 3  ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110
124,0125558010010,บจ.พีแอล.ออโต้เรส จำกัด,24/4/2558," 1,000,000 ",จำหน่าย ปั๊มน้ำอุตสาหกรรม มอเตอร์,46/139 หมู่ที่ 5  ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110
125,0125558010044,บจ.ชนกพรรณ ทรานสปอร์ต จำกัด,24/4/2558," 1,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้าทุกชนิด,89/88 หมู่ที่ 5  ต.ละหาร อ.บางบัวทอง จ.นนทบุรี 11110
126,0125558010052,บจ.ดิสคัฟเวอร์รี่ เฟิร์สท์ จำกัด,24/4/2558," 1,000,000 ",ประกอบกิจการ จัดซื้อ จัดจำหน่าย ผลิต เครื่องกำเนิดไฟฟ้า ลำเลียง ขนส่ง พลังงานไฟฟ้า และอุปกรณ์ที่ข้อง,23/2 หมู่ที่ 4  ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110
127,0125558010168,บจ.เอ็ม.พี อินเตอร์เทรด(2015) จำกัด,27/4/2558," 1,000,000 ",ประกอบกิจการทางด้านกฏหมาย ทางบัญชี ทางวิศวกรรม ทางสถาปัตยกรรม,54/3 หมู่ที่ 8  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
128,0125558010257,บจ.ยอดบิลดิ้ง จำกัด,28/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,14/2404 หมู่บ้านบัวทองธานีพาร์ค หมู่ที่ 1  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
129,0125558010281,บจ.เอชเอ็ม โครเมี่ยม จำกัด,28/4/2558," 1,000,000 ",การเคลือบ การชุบโลหะด้วยโครเมี่ยม นิเกิล สำหรับวัสดุอุปกรณ์ทุกชนิดทุกประเภท,29/60 หมู่ที่ 2  ต.ลำโพ อ.บางบัวทอง จ.นนทบุรี 11110
130,0125558010311,บจ.แอดวานซ์ เน็ตเวิร์ค เทคโนโลยี แอนด์ เซอร์วิส จำกัด,28/4/2558," 1,000,000 ",ให้คำปรึกษาด้านการตลาด,95/302 หมู่ที่ 6  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
131,0125558010320,บจ.บารมี ซัพพลาย จำกัด,28/4/2558," 1,000,000 ",ประกอบกิจการซื้อขาย อุปกรณ์เครื่องมือก่อสร้าง เครื่องใช่สำนักงาน และฮาร์ดแวร์ทุกชนิด,77/267 หมู่บ้านพฤกษา 30/1 หมู่ที่ 4  ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110
132,0125558010346,บจ.บิวด์อิท คอนสตรัคชั่น แอนด์ ดีเวลลอปเม้นท์ จำกัด,28/4/2558," 1,000,000 ",ประกอบกิจการก่อสร้างอาคารที่พักอาศัย,199/112 หมู่ที่ 2  ต.พิมลราช อ.บางบัวทอง จ.นนทบุรี 11110
133,0125558010435,บจ.สยาม อิสระ จำกัด,29/4/2558," 1,000,000 ",ประกอบกิจการค้า อุปกรณ์ไฟฟ้า อิเลคทรอนิค,89/125 หมู่ที่ 3  ต.บางบัวทอง อ.บางบัวทอง จ.นนทบุรี 11110
134,0125558010494,บจ.เจไอเอ็นซี เทรดดิ้ง จำกัด,30/4/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทนจำหน่ายผลิตภัณฑ์อาหารเสริม,99/328 หมู่ที่ 6  ต.บางรักพัฒนา อ.บางบัวทอง จ.นนทบุรี 11110
135,0123558001671,หจ.บริสเทค คอนโทรล,2/4/2558," 1,000,000 ",ประกอบกิจการผลิต จัดจำหน่าย วารระ ซ่อมแซม ติดตั้ง ประกอบซอฟท์แวร์ คอมพิวเตอร์,80/63 หมู่ที่ 1  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
136,0123558002074,หจ.สุทัศน์ เจริญรุ่งเรืองกิจ การช่าง,30/4/2558," 1,000,000 ",ประกอบกจิการบริการจัด ตกแต่ง สวน ปลูก ดูแลบำรุงรักษาต้นไม้,38/2 หมู่ที่ 7  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
137,0125558008392,บจ.ช้อยส์ สปีด เปอร์ฟอร์แมนส์ จำกัด,1/4/2558," 1,000,000 ",รับจัดงานแสดงแสงสีเสียงการแสดงดนตรีและงานอีเว้นท์ทุกประเภท,49/576 หมู่ที่ 2  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
138,0125558008414,บจ.สเตทคอร์ป โฮลดิ้งส์ พีทีวาย (ประเทศไทย) จำกัด,1/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,89/113 หมู่บ้านพฤกษ์ลดาติวานนท์-ราชพฤกษ์ หมู่ที่ 1  ต.บางตะไนย์ อ.ปากเกร็ด จ.นนทบุรี 11120
139,0125558008538,บจ.บี.เจ. 999 ก่อสร้าง จำกัด,2/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,3/2 หมู่ที่ 2  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
140,0125558008554,บจ.รียา สกินแคร์ จำกัด,3/4/2558," 1,000,000 ",ประกอบกิจการค้าขาย ปลีก นำเข้าส่งออก เครื่องสำอาง ครีมบำรุงผิว โลชั่น ยาสีฟัน,70/83 หมู่ที่ 5  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
141,0125558008562,บจ.เซคเคียว 1 จำกัด,3/4/2558," 1,000,000 ",ให้บริการซื้อขาย นำเข้าส่งออก ฮาร์ดแวร์ และอุปกรณ์ระบบรักษาความปลอดภัย,200 อาคารจัสมิน อินเตอร์เนชั่นแนล ห้องเลขที่ 2604 ชั่นที่ 26 หมู่ที่ 4 ถนนแจ้งวัฒนะ  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
142,0125558008571,บจ.ซีนาว ดิสเพลย์ จำกัด,3/4/2558," 1,000,000 ",รับออกแบบสิ่งพิมพ์ ผลิตสื้อสิ่งพิมพ์ แผ่นพับโบว์ชัวร์  และบริการขนส่งและติดตั้งบูธแสดงสินค้า,64/49 หมู่ที่ 1 ถนนราชพฤกษ์  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
143,0125558008686,บจ.ยูอีซี ยูนิเวอร์แซล อีเล็คทริก จำกัด,7/4/2558," 1,000,000 ",ผลิตและจำหน่าย เครื่องกำเนิดไฟฟ้า ทุกระบบ ทั้งใช้เชื้อเพลิงและไม่ใช้เชื้อเพลิง,59/12 หมู่ที่ 1  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
144,0125558008716,บจ.ดี.พี มาสเตอร์ เซอร์วิส จำกัด,7/4/2558," 1,000,000 ",ประกอบกิจการนำเข้า จำหน่าย เคมีภัณฑ์เพื่อการปกป้องและกำจัดแมลงทุกชนิด ให้บริการกำจัดแมลง,9/91 หมู่ที่ 2  ต.คลองเกลือ อ.ปากเกร็ด จ.นนทบุรี 11120
145,0125558008732,บจ.ลิ้มสมบูรณ์กฎหมายและที่ปรึกษา จำกัด,7/4/2558," 1,000,000 ",ประกอบกิจการด้านกฎหมายบัญชี,33/2 หมู่ที่ 6 ถนนเลียบคลองประปา  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
146,0125558008775,บจ.มา เมคกิ้ง (ไทย) จำกัด,7/4/2558," 1,000,000 ",จำหน่ายเมล็ดกาแฟ กาแฟสำเร็จรูป,28/1 หมู่ที่ 11  ต.คลองข่อย อ.ปากเกร็ด จ.นนทบุรี 11120
147,0125558008830,บจ.โอเชียน วิชั่นส์ จำกัด,7/4/2558," 1,000,000 ",ประกอบกิจการผลิตและจัดจำหน่ายรายการวิทยุและโทรทัศน์เทป ซีดี วีซีดีและสื่อการเรียนการสอน,91/24 หมู่ที่ 5  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
148,0125558008856,บจ.นอติคอมม์ จำกัด,8/4/2558," 1,000,000 ",ประกอบกิจการค้า อุปกรณ์สื่อสารไร้สาย อุปกรณ์คอมพิวเตอร์ และให้บริการสื่อสารผ่านทางดาวเทียม,219/211 หมู่ที่ 4  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
149,0125558008864,บจ.ดีแอนด์ดี บิสซิเนส โซลูชั่น จำกัด,8/4/2558," 1,000,000 ",บริการให้คำปรึกษาและจัดหาซอฟแวร์คอมพิวเตอร์ ติดตั้ง วางระบบเครือข่ายคอมพิวเตอร์ รวมถึงเขียนโปรแกรม,187/32 หมู่ที่ 7  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
150,0125558009151,บจ.ณัฐสุวรรณก่อสร้าง จำกัด,9/4/2558," 1,000,000 ",รับเหมาก่อสร้างอาคารและก่อสร้างอื่นทุกชนิด,219/201 หมู่ที่ 4 ถนนแจ้งวัฒนะ  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
151,0125558009313,บจ.เอ็นเค ก๊าซ เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด,10/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างงานระบบทางวิศวกรรมทุกชนิดเช่นระบบท่อระบบไอน้ำ เป็นต้น,52/11 หมู่ที่ 3  ต.ท่าอิฐ อ.ปากเกร็ด จ.นนทบุรี 11120
152,0125558009381,บจ.วาศ  สตูดิโอ จำกัด,16/4/2558," 1,000,000 ",ประกอบกิจการรับออกแบบ ตกแต่งภายและภายนอกอาคาร,91/45 หมู่ที่ 2  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
153,0125558009445,บจ.เอส.ซี.คอมพิวเทค (ไทยแลนด์) จำกัด,17/4/2558," 1,000,000 ",ประกอบกิจการรับพัฒนาเว็ปไซด์ พัฒนาโปรแกรม,8/26 ถนนติวานนท์  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
154,0125558009526,บจ.การ์ด แอนด์ แคร์ เซอร์วิส จำกัด,20/4/2558," 1,000,000 ",บริการรักษาความปลอดภัย,305/120 หมู่ที่ 3  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
155,0125558009534,บจ.เพาะรัก คาราโอเกะ จำกัด,20/4/2558," 1,000,000 ",การบริการด้านอาคารในภัตตาคาร ร้านอาหาร,69/162 อาคารเพาะรัก หมู่ที่ 1 ถนนศรีสมาน  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
156,0125558009674,บจ.คอสเมทไลฟ์ จำกัด,21/4/2558," 1,000,000 ",จำหน่ายบรรจุภัณฑ์ บรรจุภัณฑ์พลาสติก แก้ว บรรจุภัณฑ์อื่นๆ สำหรับบรรจุเครื่องสำอาง,133/81 หมู่บ้านชาร์มมิ่งโฮม หมู่ที่ 3 ซอยสุขาประชาสรรค์ 1  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
157,0125558009739,บจ.ไอที มีเดีย ริช จำกัด,22/4/2558," 1,000,000 ",ให้บริการวางระบบคอมพิวเตอร์และจำหน่ายสินค้าเกี่ยวกับอุปกรณ์ดังกล่าว,98/136 หมู่ที่ 1 ถนนราชพฤกษ์  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
158,0125558009747,บจ.ซีทีดับเบิ้ลยูเอ จำกัด,22/4/2558," 1,000,000 ",ประกอบกิจการให้บริการรับจดทะเบียนธุรกิจ ขอใบอนุญาตประกอบธุรกิจต่างๆทุกประเภท,7/722 ถนนป๊อปปูล่า 5  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
159,0125558009836,บจ.อีคอน ดีไซน์ จำกัด,22/4/2558," 1,000,000 ",ประกอบกิจการซื้อ-ขายอุปกรณ์ เครื่องมือที่ใช้ในงานอุตสาหกรรมดีไซน์และสร้างเครื่องจักรและอุปกรณ์ต่างๆ,123/36 หมู่ที่ 3  ต.ปากเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
160,0125558009879,บจ.ลอว์ แอนด์ เอชอาร์ จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการที่ปรึกษากฏหมาย,89/15 หมู่ที่ 3  ต.บางตลาด อ.ปากเกร็ด จ.นนทบุรี 11120
161,0125558009895,บจ.ไบรท์ ไทย บิซสิเนส กรุ๊ป จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการผลิต แปรรูป จำหน่าย นำเข้าส่งออก สินค้าพืชไร่พืชผลทางการเกษตรทุกชนิด,39/17 หมู่ที่ 4  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
162,0125558009917,บจ.ฮิลล์รี่ จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการเช่า ให้เช่า ห้องพัก บ้านพัก,226/46 ถนนบอนด์สตรีท  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
163,0125558009968,บจ.ลูป วัน จำกัด,23/4/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทน นายหน้าหาสปอร์ตเซอร์ ต่างๆ รับจัดหาและจัดงานกิจกรรม อีเว้นท์ และการโชว์,9/127 หมู่บ้าน คาซ่าเพรสโต้ ราชพฤกษ์-แจ้งวัฒนะ หมู่ที่ 4  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
164,0125558010036,บจ.สหชาติ มิเนียม ดีไซน์ จำกัด,24/4/2558," 1,000,000 ",ให้บริการติดตั้งกระจก อลูมิเนียม ฝ้าเพดาน คอมโพลิต เหล็กดัด และมุ้งลวดทุกชนิด,96/17 หมู่ที่ 8 ถนนติวานนท์  ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี 11120
165,0125558010079,บจ.เอส ทู คอร์ปอเรชั่น จำกัด,24/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายอุปกรณ์ไฟฟ้า และอุปกรณ์สื่อสาร,79/104 หมู่ที่ 6  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
166,0125558010095,บจ.อินทีเกรท พาวเวอร์ คอนโทรล ซิสเต็มส์ จำกัด,27/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายอุปกรณ์ไฟฟ้าและรับออกแบบระบบไฟฟ้า,86/236 ถนนราชพฤกษ์  ต.บางพลับ อ.ปากเกร็ด จ.นนทบุรี 11120
167,0125558010303,บจ.เอสทีเอ็มซี เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด,28/4/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,55/98 หมู่ที่ 5 ถนนติวานนท์  ต.บ้านใหม่ อ.ปากเกร็ด จ.นนทบุรี 11120
168,0125558010371,บจ.ดีเซมเบอร์ คัพ จำกัด,29/4/2558," 1,000,000 ",ประกอบกิจการจำหน่ายร้านกาแฟสด,56 หมู่ที่ 1  ต.อ้อมเกร็ด อ.ปากเกร็ด จ.นนทบุรี 11120
169,0125558010443,บจ.ที ซี เอ็น เอ็นจิเนียริ่ง เซอร์วิส แอนด์ ซัพพลาย 1985 จำกัด,29/4/2558," 1,000,000 ",ประกอบกิจการติดตั้งกล้องวงจรปิด ซื้อขายกล้องวงจรปิด และรับจ้างทำของทุกชนิด,8/11 หมู่ที่ 9 ถนนประตูน้ำวัดศรีเกศ  ต.คลองข่อย อ.ปากเกร็ด จ.นนทบุรี 11120
