นิติบุคคลจัดตั้งเดือนกุมภาพันธ์  2558,,,,,,
ทั่วประเทศ,,,,,,
ที่,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์เดิม,ที่ตั้งสำนักงานใหญ่
"2,011",0103558004280,หจ.ณัฐนันท์ ยูเอ็นบี,19/2/2558," 150,000 ",ประกอบกิจการธุรกิจรับเป็นผู้บริหารงานเกี่ยวกับด้านพาณิชยกรรม,25/129 ซอยพึ่งมี 50  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
"2,012",0103558003321,หจ.ชาญ ศรีสวัสดิ์,9/2/2558," 150,000 ",ประกอบกิจการรับเป็นผู้บริหารงานเกี่ยวกับด้านพาณิชยกรรม การตลาดและจัดจำหน่าย,54/1 ซอยภาษี 1  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
"2,013",0103558004875,หจ.นิรา เอ็นเตอร์ไพร์ส,25/2/2558," 100,000 ",นายหน้าจำหน่ายอาหารเสริมหรือวิตามินเสริมสุขภาพ และผลิตภัณฑ์เสริมความงามทุกประเภท,575/1 ถนนรัชดาภิเษก(ท่าพระ-ตากสิน)  แขวงบุคคโล เขตธนบุรี กรุงเทพมหานคร 10600
"2,014",0103558004905,หจ.อินเทกริตี้ แอร์,25/2/2558," 100,000 ",ประกอบกิจการค้าเครื่องปรับอากาศอะไหล่อุปกรณ์และเครื่องมือเกี่ยวกับเครื่องปรับอากาศ,47 ถนนท่าดินแดง  แขวงสมเด็จเจ้าพระยา เขตคลองสาน กรุงเทพมหานคร 10600
"2,015",0105558034831,บจ.ทองเต็มถัง จำกัด,24/2/2558," 100,000 ",บริการทางด้านกฎหมายและทางบัญชี,87/1 ถนนวุฒากาส  แขวงตลาดพลู เขตธนบุรี กรุงเทพมหานคร 10600
"2,016",0103558004174,หจ.โอเวอร์สเตย์ แบคแพคเกอร์,17/2/2558," 100,000 ",ประกอบกิจการโรงแรม ภัตตาคาร บาร์ ไนท์คลับ,80 ถนนจรัญสนิทวงศ์  แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร 10700
"2,017",0103558004816,หจ.เอ็ม.เจ.ยู. บิวดิ้ง แอนด์ ซัพพลาย,25/2/2558," 100,000 ",ประกอบกิจการจำหน่าย วัสดุก่อสร้าง อุปกรณ์และเครื่องมือใช้ในการก่อสร้าง เครื่องมือช่างทุกประเภท ฯลฯ,437/309 ถนนจรัญสนิทวงศ์  แขวงบางขุนศรี เขตบางกอกน้อย กรุงเทพมหานคร 10700
"2,018",0103558005090,หจ.พินทุมนต์,27/2/2558," 100,000 ",กิจกรรมเกี่ยวกับบัญชีและตรวจสอบบัญชี การให้คำปรึกษาด้านบัญชีและภาษี,12 ซอยจรัญสนิทวงศ์ 96/3 ถนนจรัญสนิทวงศ์  แขวงบางอ้อ เขตบางพลัด กรุงเทพมหานคร 10700
"2,019",0105558020431,บจ.ไอเอ็นซีเอ จำกัด,2/2/2558," 100,000 ",ประกอบกิจการบริการรับทำบัญชี วางระบบบัญชี,21/178 ซอยลาดพร้าว 15  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
"2,020",0105558029021,บจ.เวลธ์ ครีเอชั่น แมเนจเมนท์ จำกัด,16/2/2558," 100,000 ",บริการเป็นที่ปรึกษาทางการเงิน รับวางแผนการเงินส่วนบุคคล,999/278 ซอยพหลโยธิน 34  แขวงเสนานิคม เขตจตุจักร กรุงเทพมหานคร 10900
"2,021",0105558033231,บจ.แรบบิทแอนด์จอห์น จำกัด,23/2/2558," 100,000 ",ประกอบกิจการ ร้านเสริมสวย ให้บริการด้านความงาม นวด สปา ทำผม ทำเล็บ,275/25 ซอยศรีย่าน 3 ถนนนครไชยศรี  แขวงถนนนครไชยศรี เขตดุสิต กรุงเทพมหานคร 10300
"2,022",0103558004743,หจ.เอ็นพีเค การบัญชี,24/2/2558," 100,000 ",ประกอบกิจการบริการทางด้านกฎหมาย,333/26 ถนนสุทธิสารสะพาน 3  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
"2,023",0105558022603,บจ.จี.บี. คอนซัลแตนท์ จำกัด,5/2/2558," 100,000 ",กิจกรรมทางกฎหมาายและบัญชี,999/228 หมู่บ้านเกศินีวิลล์ ซอย14 ถนนประชาอุทิศ  แขวงสามเสนนอก เขตห้วยขวาง กรุงเทพมหานคร 10310
"2,024",0105558023839,บจ.เอฟ3 (ไทยแลนด์) จำกัด,6/2/2558," 100,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วนจำกัดเป็นผู้ถือหุ้นในบริษัทจำกัดและบริษัทมหาชนจำกัด,240/37 อาคารอโยธยา ทาวเวอร์ ชั้นที่ 19 ถนนรัชดาภิเษก  แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310
"2,025",0103558003062,หจ.เจ.เอส.พี. ออโตเมชั่น,5/2/2558," 100,000 ",ขายปลีก อะไหล่เครื่องจักร อุปกรณ์ เครื่องมือเครื่องใช้ในงานอุตสาหกรรม,18/18 ซอยพระราม 6 ซอย 45 ถนนพระราม 6  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
"2,026",0103558004891,หจ.เอสพี ออล เซอร์วิส,25/2/2558," 100,000 ",จำหน่ายอุปกรณ์ไฟฟ้าและอีเล็คโทรนิคส์,5/7 ซอยอินทามระ 28  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
"2,027",0105558028105,บจ.ซุนดารี เฮิร์บ จำกัด,13/2/2558," 100,000 ",ประกอบกิจการค้าเครื่องสำอาง อุปกรณ์เครื่องมือ และเครื่องใช้เสริมความงาม,451/48 อาคารคอนโดเมโทร สกาย รัชดา อาคารบี ชั้นที่ 4 ซอยอินทามระ 47  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
"2,028",0105558028610,บจ.ตัวตั้ง จำกัด,13/2/2558," 100,000 ",ประกอบกิจการเกี่ยวกับบัญชี การทำบัญชีและการตรวจสอบบัญชี การให้คำปรึกษาด้านภาษี,578/10 ซอยโพธิ์ปั้น ถนนอโศก-ดินแดง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
"2,029",0105558028725,บจ.เวลตี้ แฟมิลี่ จำกัด,13/2/2558," 100,000 ",ประกอบกิจกรรมเกี่ยวกับบัญชีการทำบัญชีและการตรวจสอบบัญชีการให้คำปรึกษาด้านภาษี,71/1 ซอยโรงเรียนจารุณีวิทย์ ถนนบรรทัดทอง  แขวงถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400
"2,030",0105558029543,บจ.สมาร์ท จ็อบ จำกัด,16/2/2558," 100,000 ",บริการจองตั๋วเครื่องบิน จองโรงแรม,789 อาคารทิวลิป อพาร์ทเม้นท์ ชั้นที่ 5 ห้องเลขที่ 502 ซอยสุทธิพร ถนนรัชดาภิเษก  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
"2,031",0105558032579,บจ.บีพีพีอาร์ จำกัด,20/2/2558," 100,000 ",กิจกรรมของบริษัทโฮลดิ้งที่ไม่ได้ลงทุนในธุรกิจการเงินเป็นหลัก,1550 ถนนเพชรบุรีตัดใหม่  แขวงมักกะสัน เขตราชเทวี กรุงเทพมหานคร 10400
"2,032",0105558032633,บจ.ดิเอเบิล จำกัด,20/2/2558," 100,000 ",ประกอบกิจการปรึกษาบริหารการตลาด และการขายธุรกิจอสังหาริมทรัพย์,9/45 ซอยพหลโยธิน 2 ถนนพหลโยธิน  แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400
"2,033",0103558003500,หจ.มีสุข ซับคอนแทรค,10/2/2558," 100,000 ",ประกอบกิจการให้บริการจัดส่งคนเข้างาน (โดยพนักงานเป็นคนของบริษัท มิใช่ธุรกิจจัดหาแรงงาน),248/29 ซอยราษฎร์อุทิศ 38  แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร 10510
"2,034",0105558024614,บจ.สอบบัญชีดีดี จำกัด,9/2/2558," 100,000 ",รับตรวจสอบบัญชีทุกประเภทกิจการ รับปรึกษาด้านบัญชีทุกประเภท วางระบบบัญชี รับจดทะเบียนจัดตั้งกิจการทุก,20/94 ซอยรามคำแหง 172 ถนนรามคำแหง  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
"2,035",0105558024622,บจ.สำนักงานบัญชีเจเอสพี จำกัด,9/2/2558," 100,000 ",บริการทำบัญชี วางระบบบัญชี รับจดทะเบียนจัดตั้งบริษัท รับปรึกษาด้านบัญชีทุกประเภทกิจการ,20/20 ซอยรามคำแหง 172 ถนนรามคำแหง  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
"2,036",0105558030231,บจ.บาเลย์อ่า จำกัด,17/2/2558," 100,000 ",ประกอบกิจการค้าอาหารสำเร็จรูปที่ทำมาจากเนื้อสัตว์ผักผลไม้เครื่องปรุงรสอาหารน้ำซอสและเครื่องบริโภคอื่,112/5 ซอยขุมทองลำต้อยติ่ง ถนนร่วมพัฒนา  แขวงลาดกระบัง เขตลาดกระบัง กรุงเทพมหานคร 10520
"2,037",0105558024509,บจ.แอคโปร 2015 จำกัด,9/2/2558," 100,000 ",รับทำบัญชี ภาษีอากร จดทะเบียน,39/62 หมู่ที่ 12 ถนนมิตรไมตรี  แขวงหนองจอก เขตหนองจอก กรุงเทพมหานคร 10530
"2,038",0105558026676,บจ.ไดแอมกรุ๊ป จำกัด,11/2/2558," 100,000 ",ประกอบธุรกิจผลิต รับจ้างผลิต จำหน่าย นำเข้า และส่งออก ทอง นาก เพชร พลอย อัญมณีและเครื่องประดับอื่นๆ,68/316 หมู่บ้านลัลลี่วิลล์ ซอยประชาอุทิศ 72 ถนนประชาอุทิศ  แขวงทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140
"2,039",0103558003585,หจ.วีรันดา ออร์คิดส์ (ไทยแลนด์),11/2/2558," 100,000 ",ประกอบธุรกิจส่งออกและจัดจำหน่ายกล้วยไม้ทุกชนิดรวมถึงสินค้าทางการเกษตรที่เกี่ยวข้องทุกประเภท,46/94 ถนนท่าข้าม  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
"2,040",0103558004662,หจ.ลอร์ด แทรเวล,23/2/2558," 100,000 ",ประกอบกิจการให้บริการเช่ารถ และรถรับจ้างทุกชนิด,698/58 หมู่บ้านคุณาลัย ซอย 5/2 ถนนบางขุนเทียน-ชายทะเล  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
"2,041",0105558026200,บจ.คิดบวก คอนซัลติ้ง จำกัด,11/2/2558," 100,000 ",ประกอบกิจการให้บริการด้านบัญชี ทำบัญชี,44/239 ซอยบางกระดี่ 35/1 ถนนบางกระดี่  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
"2,042",0105558030720,บจ.แอคเคาน์ติ้ง บิสซิเนส จำกัด,18/2/2558," 100,000 ",ประกอบกิจการรับทำบัญชี รับตรวจสอบบัญชี,111/263 หมู่ที่ 5 ซอยอนามัยงามเจริญ 11 ถนนอนามัยงามเจริญ  แขวงท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150
"2,043",0105558037856,บจ.ยูไนเต็ด วอยเซส อินเตอร์เนชันแนล จำกัด,27/2/2558," 100,000 ",รับดำเนินการเป็นที่ปรึกษาและให้คำแนะนำแก่บุคคลหรือนิติบุคคลในด้านธุรกิจการบริหารการจัดการธุรกิจ,134/63 ซอยพระรามที่ 2 ซอย 50  แขวงแสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150
"2,044",0103558004263,หจ.พาโชค เซอร์วิส,18/2/2558," 100,000 ",ประกอบกิจการรับจ้างซ่อมและติดตั้งอุปกรณ์ไฟฟ้า-อิเล็กทรอนิกส์ ในเครื่องจักรอุตสาหกรรมทุกชนิด,82/34 ถนนกัลปพฤกษ์  แขวงบางแค เขตบางแค กรุงเทพมหานคร 10160
"2,045",0103558004409,หจ.พงษ์รุ่งเรือง ภาษีอากรและการบัญชี,20/2/2558," 100,000 ",ประกอบกิจการบริการจัดทำบัญชี การให้คำปรึกษาด้านภาษีและภาษีอากร,36/23 ซอยเพชรเกษม 68 แยก 25  แขวงบางแคเหนือ เขตบางแค กรุงเทพมหานคร 10160
"2,046",0105558019963,บจ.บิลเลียน ลัคเกจ จำกัด,2/2/2558," 100,000 ",ประกอบกิจการค้า การขายส่งกระเป๋าเดินทาง กระเป๋าถือและสิ่งที่คล้ายกัน,2/245 ซอยกาญจนาภิเษก 005 ถนนกาญจนาภิเษก  แขวงหลักสอง เขตบางแค กรุงเทพมหานคร 10160
"2,047",0105558031211,บจ.เอส เอ็ม ซี ซี จำกัด,18/2/2558," 100,000 ",ประกอบกิจการค้า ผ้า ผ้าทอ จากใยสงเคราะห์ ด้าย ด้ายยางยืด เส้นใยไนล่อน,82 ซอยเพชรเกษม 79 แยก 28  แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160
"2,048",0103558003861,หจ.ไทย วีซ่า,13/2/2558," 100,000 ",บริการให้ข้อมูลเกี่ยวกับการขอหรือต่อวีซ่า หนังสือเดินทางและใบอนุญาตทำงานสำหรับชาวต่างชาติทีอาศัยอยู่,24 ซอยทุ่งมังกร22 ถนนทุ่งมังกร  แขวงฉิมพลี เขตตลิ่งชัน กรุงเทพมหานคร 10170
"2,049",0103558004301,หจ.พีเอ็นเอ็ม โปร.ดีไซน์,19/2/2558," 100,000 ",ประกอบกิจการผลิตและจำหน่ายเสื้อผ้าสำเร็จรูป,21 ซอยอินทราวาส 15  แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170
"2,050",0105558031441,บจ.สยามอินเตอร์เซอร์วิสแอนด์คอนซัลแตนท์ จำกัด,18/2/2558," 100,000 ",ให้คำปรึกษา จัดทำ และดำเนินการ คู่มือการจัดทำรายงายการวิเคราะห์ผลกระทบสิ่งแวดล้อม,138 ซอยบรมราชชนนี 76 ถนนบรมราชชนนี  แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170
"2,051",0103558004468,หจ.ลัคซูรี่ เอเชีย คอนเน็ค,20/2/2558," 100,000 ",บริการให้คำปรึกษาด้านการตลาด,13 ถนนรามอินทรา ซอย 5  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
"2,052",0105558031823,บจ.วาย พี พี คอนซัลแทนท์ จำกัด,19/2/2558," 100,000 ",บริการทีปรึกษาทางบัญชีและตรวจสอบบัญชี,459/92 หมู่บ้านวิลล่า อะคาเดีย วัชรพล ถนนวัชรพล  แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10220
"2,053",0105558033273,บจ.ไทย ซีซีแอล จำกัด,23/2/2558," 100,000 ",ให้บริการออกแบบตกแต่งภายในละภายนอก รวมถึงให้บริการรับเหมาก่อสร้างอาคารสถานที่ทุกชนิด,11 ซอยรามอินทรา 19 แยก 1 ถนนรามอินทรา  แขวงอนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220
"2,054",0105558022379,บจ.เคเอ็น 2015 จำกัด,5/2/2558," 100,000 ",ที่ปรึกษาทางธุรกิจและให้บริการทางด้านการบัญชี รับจัดการธุรกิจให้คนอื่น,30 ซอยประเสริฐมนูกิจ 29 แยก 7 ถนนประเสริฐมนูกิจ  แขวงจรเข้บัว เขตลาดพร้าว กรุงเทพมหานคร 10230
"2,055",0105558024967,บจ.เอมวัน (ประเทศไทย) จำกัด,9/2/2558," 100,000 ",ให้คำปรึกษาทางด้านซอฟต์แวร์และฮาร์ดแวร์,39/1 ซอยสังคมสงเคราะห์ 12  แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230
"2,056",0102558000038,หส.สยาม อีลีเซี่ยน,23/2/2558," 100,000 ",การขายปลีกผลิตภัณฑ์อาหาร เครื่องดื่ม ยาสูบ รวมทั้งเสื้อผ้า เครื่องแต่งกาย เฟอร์นิเจอร์,45/223 หมู่ที่ 5 ถนนนวมินทร์  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"2,057",0103558003569,หจ.เอ็นดับเบิ้ลยูเอส ออดิท,11/2/2558," 100,000 ",ให้บริการรับตรวจสอบบัญชี,779 ซอยหมู่บ้านสินธร  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"2,058",0103558004361,หจ.สหพันธ์เครือข่ายทีวีดาวเทียม และ วิทยุชุมชน,19/2/2558," 100,000 ",ประมูลคลื่นความถี่วิทยุกระจายเสียง วิทยุโทรทัศน์ เพื่อให้บริการทางธุรกิจ,9/9 ซอยบุญวิเศษ ถนนเสรีไทย  แขวงคลองกุ่ม เขตบึงกุ่ม กรุงเทพมหานคร 10240
"2,059",0103558004841,หจ.ดาวดาราเทรนนิ่ง,25/2/2558," 100,000 ",รับจัดอบรมการแสดงการเต้นการร้องเพลงและการเล่นดนตรีการเดินแบบถ่ายแบบการพูดต่างๆสำหรับงานบันเทิง,55/124 หมู่บ้านสราญรมย์ ซอยประเสริฐมนูกิจ 42 ถนนประเสริฐมนูกิจ  แขวงนวมินทร์ เขตบึงกุ่ม กรุงเทพมหานคร 10240
"2,060",0105558019335,บจ.เอ็นเจ ออดิท เฟิร์ม จำกัด,2/2/2558," 100,000 ",ประกอบกิจการให้บริการทางบัญชี,11 ซอยรามคำแหง 118 แยก 27 ถนนรามคำแหง  แขวงสะพานสูง เขตสะพานสูง กรุงเทพมหานคร 10240
"2,061",0105558032901,บจ.อัลกอริทมิก จำกัด,20/2/2558," 100,000 ",การขายส่งคอมพิวเตอร์และซอฟต์แวร์อุปกรณ์อิเล็กทรอนิกส์และเครื่องมือสื่อสารโดยได้รับค่าตอบแทน,5 ซอยรามคำแหง 60 แยก 7 ถนนรามคำแหง  แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240
"2,062",0103558003577,หจ.ทู เอ็น แอนด์ พี การบัญชี,11/2/2558," 100,000 ",กิจการเกีี่ยวกับบัญชี การทำบัญชีและการตรวจสอบบัญชีการให้คำปรึกษาด้านบัญชีและภาษี,7 หมู่บ้านดิเอ็นเทอร์คลิก ซอย01 กาญจนาภิเษก 39 แยก 12  แขวงดอกไม้ เขตประเวศ กรุงเทพมหานคร 10250
"2,063",0105558027702,บจ.เอ็นพีเอ็น เอ็นเตอร์ไพรส์ (ไทยแลนด์) จำกัด,12/2/2558," 100,000 ",ประกอบกิจการค้า นำเข้า ส่งออก เครื่องอุปกรณ์ตกแต่งบ้าน เฟอร์นิเจอร์,511/89 อาคารดิ ไอริส อาคารเอฟ ถนนศรีนครินทร์  แขวงสวนหลวง เขตสวนหลวง กรุงเทพมหานคร 10250
"2,064",0103558003607,หจ.เพทา อินเตอร์เทรด,11/2/2558," 100,000 ",ซื้อขายอาหารสัตว์เลี้ยงทุกประเภท และรับฝากเลี้ยง อาบน้ำ ตัดขน,"60,62 ซอยอุดมสุข 51 ถนนสุขุมวิท 103  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260"
"2,065",0105558021828,บจ.บ้านต้นนนทรี จำกัด,4/2/2558," 100,000 ",รับซื้อขายที่ดิน,32/4 ซอยสุขุมวิท 81  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
"2,066",0105558021836,บจ.บ้านต้นทองหลาง จำกัด,4/2/2558," 100,000 ",การรับซื้อ ขาย ที่ดิน,32/4 ซอยสุขุมวิท 81  แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10260
"2,067",0105558029802,บจ.กรุ๊ป โอ จำกัด,17/2/2558," 100,000 ",ประกอบกิจการค้าผ้า,771 ถนนมหาจักร  แขวงจักรวรรดิ เขตสัมพันธวงศ์ กรุงเทพมหานคร 10100
"2,068",0105558020783,บจ.ซีไพน์ แอสเซท จำกัด,3/2/2558," 100,000 ",ประกอบธุรกิจบริการรับเป็นที่ปรึกษาและให้คำแนะนำปัญหาเกี่ยวกับด้านการเงิน การบริหารงาน,100 ซอยเจริญมิตร ถนนสุขุมวิท 63  แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
"2,069",0105558024312,บจ.มิ้นท์ 53 จำกัด,9/2/2558," 100,000 ","ประกอบกิจการขายปลีกทางอินเทอร์เน็ตได้แก่สินค้าแฟชั่น,เครื่องแต่งกาย,เครื่องประดับ,เครื่องสำอางค์",18 ซอยสุขุมวิท 53 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
"2,070",0105558029772,บจ.มีเดียคอม (ประเทศไทย) จำกัด,17/2/2558," 100,000 ",ประกอบกิจการโฆษณาและเป็นตัวแทนทำการโฆษณา,2 อาคารเพลินจิต เซ็นเตอร์ ชั้น 20 ซอยสุขุมวิท 2 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
"2,071",0105558029781,บจ.แอทลาส คอมมิวนิเคชั่นส์ (ประเทศไทย) จำกัด,17/2/2558," 100,000 ",ประกอบกิจการโฆษณาและเป็นตัวแทนทำการโฆษณา,2 อาคารเพลินจิต เซ็นเตอร์ ชั้น 20 ซอยสุขุมวิท 2 ถนนสุขุมวิท  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
"2,072",0105558034075,บจ.บียอนด์ ออดิท แอนด์ คอนซัลแตนท์ จำกัด,23/2/2558," 100,000 ",บริการด้านกฎหมายและทางบัญชี,314 ซอยสุขุมวิท 22  แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110
"2,073",0103558002864,หจ.ธรรมะรักษา,3/2/2558," 100,000 ",กิจกรรมการกวดวิชาทั่วไป การให้บริการสอนเสริม เช่น โรงเรียนกวดวิชา (เมื่อได้รับอนุญาตจากหน่วยงานที่เก,295 ถนนพระราม ที่ 3  แขวงบางคอแหลม เขตบางคอแหลม กรุงเทพมหานคร 10120
"2,074",0105558021241,บจ.สำนักงานบัญชี เอ แอนด์ ที จำกัด,4/2/2558," 100,000 ",ประกอบกิจการรับบริการจัดทำบัญชี ตรวจสอบบัญชี ปรึกษาและวางแผนระบบบัญชี,7 ซอยจันทน์ 51 แยก 10 ถนนจันทน์  แขวงวัดพระยาไกร เขตบางคอแหลม กรุงเทพมหานคร 10120
"2,075",0105558031777,บจ.รีจัส ลุมพินี เซ็นเตอร์ จำกัด,19/2/2558," 100,000 ",ประกอบกิจการให้บริการให้เช่าอสังหาริมทรัพย์ อาคารสำนักงาน เฟอร์นิเจอร์สำนักงาน อุปกรณ์ต่างๆ,1 อาคารคิวเฮ้าส์ ลุมพินี ถนนสาทรใต้  แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120
"2,076",0105558035365,บจ.อีซี่ คอมเมิร์ซ (ไทยแลนด์) จำกัด,25/2/2558," 100,000 ",ประกอบกิจการซื้อขายสินค้าหรือบริการโดยวิธีการใช้สื่ออิเล็กทรอนิกส์ผ่านระบบเครือข่ายอินเตอร์เน็ต,149 อาคารแกแล็คซี่เพลส ชั้นที่ 8 ห้องเลขที่ 8/1-8/2 ถนนนนทรี  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
"2,077",0105558036434,บจ.เคเอ็นพี แอคเคาท์ติ้ง เซอร์วิส จำกัด,26/2/2558," 100,000 ",ประกอบธุรกิจการทำบัญชีและการตรวจสอบบัญชี ให้คำปรึกษาด้านภาษี,6 ซอยจันทน์ 21  แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120
"2,078",0103558003402,หจ.สำนักพิมพ์ไก่3,9/2/2558," 60,000 ",ผลิตหนังสือ รูปแบบ การ์ตูน ภาพประกอบ บทควาาม ในรูปแบบและแนวทางของสำนักพิมพ์,345 หมู่บ้านสินธร ซอย21 ถนนแฮปปี้แลนด์  แขวงคลองจั่น เขตบางกะปิ กรุงเทพมหานคร 10240
"2,079",0103558003119,หจ.ไอ เอส เอส เอช,5/2/2558," 50,000 ",ให้คำปรึกษา แนะนำเกี่ยวกับการบริหาร การจัดการ ด้านบัญชีการเงิน ด้านวิศวกรรม และวิเทศสัมพันธ์,58 ซอยยาาสูบ 2  แขวงจอมพล เขตจตุจักร กรุงเทพมหานคร 10900
"2,080",0103558004450,หจ.ทูยู มาร์เก็ตติ้ง (ไทยแลนด์),20/2/2558," 50,000 ",ประกอบกิจการให้คำปรึกษาต่างๆ เช่น จัดหาสถานที่ประกอบกิจการ เป็นต้น,148/1317 หมู่บ้านรินทร์ทอง ซอยรามคำแหง 190  แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร 10510
"2,081",0105558034351,บจ.เอ็ม เอ พี แอคเค้าท์ติ้ง เซอร์วิสเซส จำกัด,24/2/2558," 50,000 ",ประกอบกิจการให้บริการรับจัดทำบัญชีสอบบัญชีวางระบบบัญชี จดทะเบียนธุรกิจติดต่อขอเลขประจำตัวผู้เสียภาษี,52 ถนนเทอดไท  แขวงปากคลองภาษีเจริญ เขตภาษีเจริญ กรุงเทพมหานคร 10160
"2,082",0103558004433,หจ.วิรุณณิดา,20/2/2558," 50,000 ",ประกอบกิจการจำหน่ายสินค้าอุปโภค บริโภคทุกชนิดทุกประเภท รวมทั้งอื่นๆที่เกี่ยวข้อง,99/120 ซอย01 กาญจนาภิเษก 10/1  แขวงรามอินทรา เขตคันนายาว กรุงเทพมหานคร 10230
"2,083",0103558003305,หจ.ณปภาเทรดดิ้ง,9/2/2558," 50,000 ",ประกอบกิจการขายน้ำมันหล่อลื่น,59 ซอยอ่อนนุช 66 แยก 25  แขวงประเวศ เขตประเวศ กรุงเทพมหานคร 10250
"2,084",0103558003127,หจ.ไอ เอส เอ ที,5/2/2558," 50,000 ",ให้คำปรึกษา แนะนำเกี่ยวกับบริหาร การจัดการ ด้านบัญชีกาารเงิน ด้าานวิศวกรรม และวิเทศสัมพันธ์,91/40 ซอยสุขุมวิท 53  แขวงคลองตันเหนือ เขตคลองเตย กรุงเทพมหานคร 10110
"2,085",0103558003135,หจ.ไอ เอส เอส พี,5/2/2558," 50,000 ",ให้คำปรึกษา แนะนำเกี่ยวกับการบริหาร การจัดการ ด้านบัญชีการเงิน ด้านวิศวกรรม และวิเทศสัมพันธ์,91/40 ซอยสุขุมวิท 53  แขวงคลองตันเหนือ เขตคลองเตย กรุงเทพมหานคร 10110
"2,086",0105558023774,บจ.จัสท์ คอนซัลท์ จำกัด,6/2/2558," 50,000 ",เข้าเป็นหุ้นส่วนจำกัดความรับผิดในห้างหุ้นส่วน และเป็นผู้ถือหุ้นในบริษัทจำกัดอื่น หรือบริษัทมหาชนจำกั,737/44 เดอะ เมดิสัน คอนโดมิเนียม ชั้น 14 ซอยสุขุมวิท 41 ถนนสุขุมวิท  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
"2,087",0105558035772,บจ.ฮูค คอนซัลแตนท์ จำกัด,25/2/2558," 50,000 ",บริการให้คำปรึกษา ทางธุรกิจและการจัดการ,11/2 ซอยทองหล่อ 25 ถนนสุขุมวิท 55  แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110
"2,088",0103558004417,หจ.นาซ (ประเทศไทย),20/2/2558," 30,000 ",ประกอบกิจการให้บริการด้านภาษาแบบครบวงจร รับแปลเอกสาร ล่าม ถอดคลิปเสียงวิดีโอ,608/198 ถนนอโศก-ดินแดง  แขวงดินแดง เขตดินแดง กรุงเทพมหานคร 10400
