นิติบุคคลจัดตั้งเดือนธันวาคม  2558,,,,,,
ทั่วประเทศ,,,,,,
,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่
14,0115558023359,บจ.เทรนนิ่ง รีเสิร์ช แอนด์ บิสสิเนส แอดไวซ์ซิ่ง เซอร์วิสเซส จำกัด,2/12/2558," 3,000,000 ",รับเป็นที่ปรึกษา รับจัดการธุรกิจกับการบริการงาน การฝึกอบรม,1040/14 หมู่ที่ 4  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
15,0115558023685,บจ.โชคอนันต์ ชาละวัน ขนส่ง จำกัด,14/12/2558," 3,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้าและคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศทั้งภายในประเทศและระหว่างประเทศ,239 หมู่ที่ 4  ต.บางเพรียง อ.บางบ่อ จ.สมุทรปราการ 10560
16,0115558023383,บจ.ออฟฟิตอินเทรน จำกัด,2/12/2558," 2,000,000 ",ประกอบกิจการนำเข้าผลิตจำหน่ายเฟอร์นิเจอร์และอุปกรณ์สำนักงานทุกชนิด,587 หมู่ที่ 3  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
17,0115558023472,บจ.แซดทีเอ็มแอล เทคโนโลยี จำกัด,3/12/2558," 2,000,000 ",ซื้อขายและบริการซ่อมแซมบำรุงรักษาโทรศัพท์และอุปกรณ์มือถือ,1692/49 หมู่ที่ 4  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
18,0115558024088,บจ.ธนกาญจน์โภคทรัพย์ จำกัด,21/12/2558," 2,000,000 ","ประกอบกิจการจำหน่ายกระจก,อลูมิเนียมเหล็ก,ฝ้า,ไม้เทียม",9/11-12 หมู่ที่ 5  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
19,0113558006576,หจ.จงลักษ์การพาณิชย์,29/12/2558," 2,000,000 ",การขายส่งเสื้อผ้าและสินค้าอุปโภค ตามที่ระบุไว้ในวัตถุประสงค์,215 หมู่ที่ 3  ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
20,0115558023511,บจ.เบเดียน อินดัสทรี (ไทยแลนด์) จำกัด,4/12/2558," 2,000,000 ",ผลิตวิจัยและพัฒนา เครื่องมือสื่อสารและอุปกรณ์ที่เกี่ยวข้อง,39/234 หมู่ที่ 11  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540
21,0115558023243,บจ.ยูตานิ (ประเทศไทย) จำกัด,1/12/2558," 2,000,000 ",ประกอบกิจการซ่อมแซมเครื่องแปรรูปโลหะและเครื่องตัดโลหะรวมทั้งระบบควบคุมไฟฟ้า,43/17 หมู่ที่ 10 ซอยบางปลา 29 ถนนเทพารักษ์  ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540
22,0115558024011,บจ.โกเรีย โฟร์ ซีซั่น ฟู้ด จำกัด,18/12/2558," 2,000,000 ",นำเข้าอาหารและสินค้าจากต่างประเทศเข้ามาจำหน่ายภายในประเทศ,88/4-88/5 หมู่ที่ 3  ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540
23,0115558023294,บจ.ดาอึน โซล อินคอร์ปอเรชั่น จำกัด,1/12/2558," 2,000,000 ",ประกอบกิจการค้าผ้า เครื่องนุ่งห่ม เสื้อผ้าสำเร็จรูป เครื่องแต่งกาย เครื่องประดับ เครื่องหนัง รองเท้า,5/20 หมู่ที่ 1  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540
24,0115558023693,บจ.เอลแมค เครน แอนด์ อีควิปเมนท์ จำกัด,14/12/2558," 2,000,000 ",นำเข้า และขายเครื่องจักร และเครื่องมือก่อสร้าง,288/98 หมู่ที่ 14  ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ 10540
25,0115558024363,บจ.ธนทร ทรานสปอร์ต จำกัด,28/12/2558," 2,000,000 ",ประกอบกิจการขนถ่ายสินค้าทางบก,146/14 หมู่ที่ 1  ต.บางโฉลง อ.บางพลี จ.สมุทรปราการ 10540
26,0115558023448,บจ.วิน เพาเวอร์ ไลน์ จำกัด,3/12/2558," 2,000,000 ",ประกอบกิจการขายปลีกขายส่งอุปกรณ์ไฟฟ้า,53/1 หมู่ที่ 9  ต.คลองด่าน อ.บางบ่อ จ.สมุทรปราการ 10550
27,0115558023324,บจ.โทคะ (ประเทศไทย) จำกัด,2/12/2558," 2,000,000 ",ประกอบธุรกิจนำเข้า ส่งออก ผลิต จำหน่าย จัดหาจัดซื้อ หมึกพิมพ์ชนิดต่างๆ,66/14 หมู่ที่ 6  ต.บางเพรียง อ.บางบ่อ จ.สมุทรปราการ 10560
28,0115558024002,บจ.นิว มูน ไทย จำกัด,18/12/2558," 2,000,000 ",ประกอบกิจการร้านอาหารภัตตาคาร,29/2 หมู่ที่ 4  ต.บางบ่อ อ.บางบ่อ จ.สมุทรปราการ 10560
29,0115558023910,บจ.เอ็มโปร แพ็คเกจจิ้ง จำกัด,16/12/2558," 2,000,000 ",ประกอบกิจการผลิต ซื้อ ขาย แลกเปลี่ยน จ้างทำของ ส่งออก ประเภทกระดาษ,135 หมู่ที่ 4 ซอยสุขสวัสดิ์ 68 ถนนสุขสวัสดิ์  ต.บางพึ่ง อ.พระประแดง จ.สมุทรปราการ 10130
30,0115558024347,บจ.เจเอสเอเซียเบฟเวอเรจ 2559 จำกัด,25/12/2558," 1,000,000 ",ประกอบกิจการโรงงานผลิตเครื่องดื่ม น้ำผลไม้ และอาหารบรรจุกระป๋อง,1146/24-25 อาคารเอกไพลินทาวเวอร์ ชั้นที่ 4 ถนนศรีนครินทร์  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
31,0115558024304,บจ.ควอซาร์ เมททอล จำกัด,25/12/2558," 1,000,000 ",ประกอบกิจการผลิต นำเข้าส่งออก โลหะ เช่น เหล็ก อลูมิเนียม ซิลิกอน แมกนีเซียม สแตนเลส เป็นต้น,599/70 หมู่ที่ 5  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
32,0115558024070,บจ.เรนนี่ ออล จำกัด,21/12/2558," 1,000,000 ",ประกอบกิจการเกี่ยวกับระบบการจัดการน้ำเสีย  และก่อสร้างระบบสาธารณูปโภค,98/112 หมู่ที่ 6 ถนนศรีนครินทร์  ต.บางเมืองใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
33,0115558023928,บจ.สุภัณรดา เอ็นจิเนียริ่ง จำกัด,16/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างต่อเติม รื้อถอนสิ่งปลูกสร้างสาธารณูปโภค ตกแต่งภายในภายนอก,12/6 หมู่บ้านแฮปปี้แลนด์ วิวล์ลาซาล หมู่ที่ 10 ซอยลาซาล 32 ถนนสุขุมวิท 105  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
34,0115558023871,บจ.ไตรมงคล เอ็นจิเนียริ่ง จำกัด,16/12/2558," 1,000,000 ",ประกอบกิจการให้บริการลูกค้าด้านระบบไฟฟ้าระบบเครื่องกล,19/47 หมู่ที่ 9  ต.บางเมืองใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
35,0113558006461,หจ.ขวานทองเซอร์วิส แอนด์ โซลูชั่น,14/12/2558," 1,000,000 ","ติดตั้ง network ,CCTV",85/31 หมู่ที่ 5  ต.บางเมืองใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
36,0115558023642,บจ.แฮปปี้ ชิลี่ จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการส่งออกอาหารสำเร็จรูป อาหารแห้ง อาหารแช่แข็ง,999/47-48 หมู่ที่ 6 ถนนเทพารักษ์  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
37,0115558023600,บจ.เคเอ็นเอ็น มาร์เก็ตติ้ง พลัส จำกัด,9/12/2558," 1,000,000 ",นำเข้า ส่งออกสินค้าอุปโภคบริโภค,390/38 หมู่ที่ 7  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
38,0115558023499,บจ.เฮลท์ แคร์ โพรวายเดอร์ จำกัด,4/12/2558," 1,000,000 ",ประกอบกิจการนำเข้าและจำหน่ายเวชภัณฑ์ สมุนไพร เครื่องสำอางจากต่างประเทศ,427/2 หมู่ที่ 5  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
39,0115558023421,บจ.ไลท์ติ้ง ช้อยส์ จำกัด,3/12/2558," 1,000,000 ",ประกอบกิจการนำเข้า จำหน่าย เครื่องอิเล็กทรอนิคส์,176/3 หมู่ที่ 5 ซอยศรีด่าน 19 ถนนศรีนครินทร์  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
40,0115558024207,บจ.อีโค โกรว์ กรีน จำกัด,23/12/2558," 1,000,000 ",เป็นตัวแทนผู้จัดจำหน่ายอุปกรณ์การเกษตร,222/167-168 ชั้นที่ 4 หมู่ที่ 5 ถนนศรีนครินทร์  ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
41,0115558023219,บจ.สยามโฮมสโตร์ จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการค้าวัสดุก่อสร้าง,106/25 หมู่ที่ 10  ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
42,0115558023375,บจ.โฮล่า โฮลดิ้ง จำกัด,2/12/2558," 1,000,000 ",ประกอบกิจการค้าเชื้อเพลิง อาหาร เครื่องดื่ม เฟอร์นิเจอร์ และเครื่องอุปโภคบริโภค,78 ถนนประโคนชัย  ต.ปากน้ำ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
43,0115558023626,บจ.ฟิล อิท อัพ จำกัด,9/12/2558," 1,000,000 ",ขายปลีกเชื้อเพลิงยานยนต์และแก๊สสำหรับยานยนต์ รวมทั้งน้ำมันหล่อลื่นทุกชนิด,239/4 หมู่ที่ 10 ถนนศรีนครินทร์  ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
44,0115558023677,บจ.นิวไลฟ์ โกลด์ ซัพพลายส์ จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการจำหน่ายวัสดุอุปกรณ์คอมพิวเตอร์ และเครื่องใช้สำนักงงานทุกชนิด,674 หมู่ที่ 5  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
45,0115558023987,บจ.เอ็น โรด เฟรท จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการให้บริการด้านขนส่งสินค้าทุกประเภท,7/331 หมู่ที่ 7  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
46,0115558024258,บจ.สแลคเกอร์ จำกัด,24/12/2558," 1,000,000 ",จำหน่ายอาหาร อาหารว่าง อาหารขบเคี้ยวทุกประเภท,1/8 หมู่ที่ 2  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
47,0115558024223,บจ.บัฟทิฟาย จำกัด,24/12/2558," 1,000,000 ",ประกอบกิจการ บริการจัดทำซอฟต์แวร์ เว็บเพจและเครือข่าย ทั้งแบบสำเร็จรูปและตามวัตถุประสงค์,99/81 หมู่บ้านนิรันดร์ วิลล์ 55 หมู่ที่ 10  ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
48,0115558023898,บจ.รูฟท้อปเทค จำกัด,16/12/2558," 1,000,000 ",ให้คำปรึกษาด้านซอฟต์แวร์ ฮาร์ตแวร์,585/3 หมู่บ้านเทพานิเวศน์ หมู่ที่ 1 ถนนเทพารักษ์  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
49,0115558023855,บจ.อินดิโก้ ทอร์ช จำกัด,15/12/2558," 1,000,000 ",ตัวแทนนายหน้าให้การบริการจัดหาลูกค้าในการให้สินเชื่่อบัตรเครดิตของธนาคาร สถาบันการเงิน,1881/28 หมู่ที่ 9  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
50,0115558024380,บจ.แอท พร็อพเพอร์ตี้ จำกัด,28/12/2558," 1,000,000 ",กิจกรรมเกี่ยวกับอสังหาริมทรัพย์,149 หมู่ที่ 3  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
51,0115558024282,บจ.ดาวลิ่งแอนด์ซัน จำกัด,24/12/2558," 1,000,000 ",ประกอบกิจการบริการทางด้านกฎหมาย ทางบัญชี,1719/7 หมู่ที่ 2  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
52,0113558006436,หจ.มังกรออโต้คาร์,11/12/2558," 1,000,000 ",ประกอบกิจการให้บริการตรวจสภาพรถเอกชน,98/96 หมู่ที่ 6  ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
53,0115558024134,บจ.ศิลป์นคร การออกแบบและสร้างสรรค์ จำกัด,21/12/2558," 1,000,000 ",ประกอบกิจการทำวิจัย วิเคราะห์ข้อมูล พัฒนา รวมถึงออกแบบและผลิตต้นแบบสินค้า บริการ และโครงการของรัฐ เอ,80/712 หมู่บ้านทิพวัล 1 หมู่ที่ 5 ซอย32 ถนนเทพารักษ์  ต.บางเมือง อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
54,0115558023961,บจ.ไทยฮาร์ท พรีไซซ์ โซลูชั่นส์ จำกัด,17/12/2558," 1,000,000 ",กิจกรรมทางวิชาชีพวิทยาศาสตร์และเทคนิคอื่นๆซึ่งมิได้ จัดประเภทไว้ในที่อื่น,1347 หมู่ที่ 4 ถนนเทพารักษ์  ต.เทพารักษ์ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
55,0115558024037,บจ.มีเดีย ครีเอท แอดเวอร์ไทซิ่ง จำกัด,18/12/2558," 1,000,000 ",รับจ้างออกแบบตกแต่ง และจัดงานอีเว้นท์ให้แก่บุคคล นิติบุคคล ส่วนราชการและองค์กรของรัฐ,1354 หมู่ที่ 3  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
56,0115558023952,บจ.เดอะคิก (ไทยแลนด์) จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการ ให้บริการแนะนำเกี่ยวกับกีฬาเทควันโด,618 ชั้นที่ 1 ห้องเลขที่ เค. 19-22 หมู่ที่ 5 ถนนศรีนครินทร์  ต.สำโรงเหนือ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10270
57,0115558023553,บจ.อะควาคัลเจอร์ ลีดเดอร์ จำกัด,8/12/2558," 1,000,000 ",ประกอบกิจการเพาะพันธุ์อนุบาลจำหน่ายสัตว์น้ำทั้งในประเทศและต่างประเทศ,10/19 หมู่ที่ 8  ต.ท้ายบ้านใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
58,0115558024193,บจ.เคมีคอลกรุ๊ป จำกัด,23/12/2558," 1,000,000 ",ประกอบกิจการ ผลิตและจำหน่าย เครื่องสำอาง ผลิตภัณฑ์เครื่องดื่ม เครื่องเสริมความงาม และอาหารเสริม,95/207 หมู่ที่ 5  ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
59,0115558023669,บจ.พีพีพีเอ จำกัด,11/12/2558," 1,000,000 ",ประกอบกิจการ ผลิตและจำหน่าย ยาง พีวีซี พีอี พลาสติก,519 หมู่ที่ 3  ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
60,0115558023464,บจ.ปานามา โลหะกิจ จำกัด,3/12/2558," 1,000,000 ",ประกอบกิจการรับจ้างเชื่อมโลหะตัดพับกลึง,761 หมู่ที่ 2  ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
61,0113558006401,หจ.สีโย เอ็นจิเนียริ่ง แอนด์ พาร์ท,8/12/2558," 1,000,000 ",ประกอบกิจการรับจ้างกลึงงานโลหะงานมิลลิ่งงานเจียร,333/5 หมู่ที่ 5  ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
62,0115558024240,บจ.มารีน เอ็นจิเนียริ่ง โซลูชั่น แอนด์ เซอร์วิส จำกัด,24/12/2558," 1,000,000 ",ประกอบกิจการการต่อเรือใหญ่และสิ่งก่อสร้างลอยน้ำ,369/364 หมู่ที่ 3  ต.บางปูใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
63,0113558006444,หจ.ศรีสัช ซัพพลาย,14/12/2558," 1,000,000 ",ให้บริการรับเหมาช่วงงาน,199/1861 หมู่ที่ 3 ถนนบางพลี-ตำหรุ  ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
64,0115558023332,บจ.เจ.พี.อาร์.เอ็นจิเนียริ่ง แอนด์ ดิมอลลิช จำกัด,2/12/2558," 1,000,000 ",ให้บริการรับเหมารื้อถอนอาคารและบริการอื่นที่เกี่ยวข้อง,1122/45 หมู่ที่ 6 ถนนแพรกษา  ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
65,0115558023731,บจ.แก่นคูณ เอสดับบลิว.เอ็นจิเนียริ่ง จำกัด,14/12/2558," 1,000,000 ",รับเหมา ออกแบบ ติดตั้งระบบไฟฟ้า,799/30 หมู่ที่ 3 ถนนพุทธรักษา  ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
66,0113558006568,หจ.ชยุตวุฒิจันทร์ อินซูเลชั่น เอ็นจิเนียริ่ง,28/12/2558," 1,000,000 ",บริการรับจ้างติดตั้งระบบปรับอากาศทุกชนิดตามอาคารห้างสรรพสินค้า,134/308 หมู่ที่ 5  ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
67,0115558023766,บจ.พี นัมเบอร์วัน อินสตรูเม้นท์ จำกัด,14/12/2558," 1,000,000 ",นำเข้า ส่งออก เครื่องจักร,334/134 หมู่ที่ 5  ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
68,0115558023537,บจ.ยูโร ทราโฟ จำกัด,4/12/2558," 1,000,000 ",ประกอบกิจการจำหน่ายวัสดุอุปกรณ์ไฟฟ้า,199/2501 หมู่ที่ 3 ถนนบางพลี-ตำหรุ  ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
69,0115558023197,บจ.จี สโตร์ เทคโนโลยี จำกัด,1/12/2558," 1,000,000 ",จำหน่ายอุปกรณ์อีเลคโทรนิคส์ไฮเทค,799/14 หมู่ที่ 3 ถนนพุทธรักษา  ต.แพรกษา อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
70,0113558006550,หจ.โชคธนวัฒน์ แอนด์ ทรานสปอร์ต,28/12/2558," 1,000,000 ",ประกอบกิจการคนโดยสารรับส่งพนักงาน,1000/11 หมู่ที่ 8  ต.บางปูใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
71,0113558006487,หจ.ไขลาน ทรานสปอร์ต,16/12/2558," 1,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า,121 หมู่ที่ 1  ต.แพรกษาใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
72,0115558023278,บจ.เซเดอร์เร่ เด คาเฟ่ จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการจำหน่ายอาหารเครื่องดื่มขนมขบเคี้ยว,169 หมู่ที่ 1  ต.ท้ายบ้าน อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
73,0115558024215,บจ.โยโล (ประเทศไทย) จำกัด,24/12/2558," 1,000,000 ",ประกอบกิจการรับจ้าง จัดงานนิทรรศการ ออกแบบโครงสร้างเวที แสงสีเสียง งานออกแบบเวที สัมมนาวิชาการ,162/4 หมู่ที่ 1  ต.ท้ายบ้านใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
74,0115558023189,บจ.กลอรี่ ซัพพลาย แอนด์ เซอร์วิส จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการประมูลเพื่อผลิตและรับจ้างทำของตามวัตถุประสงค์ทั้งหมด,1614/125 หมู่ที่ 6  ต.ท้ายบ้านใหม่ อ.เมืองสมุทรปราการ จ.สมุทรปราการ 10280
75,0115558023782,บจ.สยาม มาสเตอร์พีซ เอ็นเนอร์จี จำกัด,14/12/2558," 1,000,000 ",ประกอบกิจการโรงไฟฟ้า ผลิตและจำหน่ายกระแสไฟฟ้า,190 หมู่ที่ 8  ต.ในคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290
76,0115558023715,บจ.พี เอส บี พาวเวอร์ จำกัด,14/12/2558," 1,000,000 ",ประกอบกิจการให้บริการ ออกแบบ เขียนแบบ บำรุงรักษา ให้คำปรึกษารับเหมาติดตั้ง ระบบไฟฟ้า ระบบสื่อสาร,818/150 หมู่ที่ 10  ต.ในคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290
77,0115558023812,บจ.โมก้า เพาเวอร์ (ประเทศไทย) จำกัด,15/12/2558," 1,000,000 ",ประกอบกิจการ ติดตั้ง ออกแบบ ทดสอบ ป้องกัน สวิทซ์ควบคุม อุปกรณ์ไฟฟ้า อิเล็คทรอนิกส์ ระบบสื่อสาร,315/21 หมู่ที่ 1  ต.แหลมฟ้าผ่า อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290
78,0115558023979,บจ.บีซี  ฟู้ด อินดัสตรีส์ (ไทยแลนด์) จำกัด,17/12/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก ผลิตและจำหน่าย ขายส่ง ขนมอาหารสำเร็จรูป,203 หมู่ที่ 1  ต.แหลมฟ้าผ่า อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290
79,0115558024312,บจ.แอสปา  อินเตอร์เทรด จำกัด,25/12/2558," 1,000,000 ",ประกอบกิจการเป็นตัวแทนจำหน่ายเวชภัณฑ์ยา อุปกรณ์ทางการแพทย์และเครื่องมือทางด้านแพทย์,888/30 หมู่ที่ 9  ต.ในคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290
80,0115558024118,บจ.ดร๊อกซ์เลอร์มาร์เก็ตติ้ง จำกัด,21/12/2558," 1,000,000 ",การบริการด้านอาหารในภัตตาคาร/ร้านอาหาร บริการจัดอาหารและเครื่องดื่ม,888/229 หมู่บ้านอินดี้ ประชาอุทิศ หมู่ที่ 2  ต.บ้านคลองสวน อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290
81,0115558023391,บจ.ดับบลิวเค เฮลท์ เซ็นเตอร์ จำกัด,2/12/2558," 1,000,000 ",ให้บริการสถานพยาบาล ตรวจสุขภาพ ดูแลผู้ป่วย ผู้ป่วยฉุกเฉิน,818/63 หมู่ที่ 10  ต.ในคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290
82,0115558023481,บจ.ทาวน์ คอร์ปอเรชั่น จำกัด,4/12/2558," 1,000,000 ",ประกอบกิจการ ผลิต ส่งออก จำหน่ายผลไม้แปรรูป ผลไม้อบแห้งทุกชนิด,90/224 หมู่ที่ 15 ถนนลาดกระบัง 20/3  ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ 10540
83,0115558023316,บจ.พีพีเอ โปรดักส์ จำกัด,2/12/2558," 1,000,000 ",ประกอบกิจการผลิตน้ำดื่ม น้ำแข็ง,98/4 หมู่ที่ 4 ถนนกิ่งแก้ว  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
84,0115558024274,บจ.โกลเด้น โกลบ เทรดดิ้ง จำกัด,24/12/2558," 1,000,000 ",ประกอบกิจการรับจ้างและผลิตเสื้อผ้าสำเร็จรูป,66 หมู่ที่ 1 ซอยจงเจริญ ถนนเทพารักษ์  ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540
85,0115558023260,บจ.เอ็มพีเอส  ทรัพย์เจริญ จำกัด,1/12/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่ายชิ้นงานพลาสติกทุกชนิด,118 หมู่ที่ 21 ซอยจงศิริ  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
86,0115558023804,บจ.โปรเกรส ดีไซน์ แอนด์ พาร์ท จำกัด,14/12/2558," 1,000,000 ",รับจ้าง เชื่อม กลึง ตัด ไส ทับ ปั๊ม และชุบโลหะ,143/120 หมู่ที่ 2  ต.บางเสาธง อ.บางเสาธง จ.สมุทรปราการ 10540
87,0115558024096,บจ.ส.เจริญทอง แอนด์ พาร์ท จำกัด,21/12/2558," 1,000,000 ",ประกอบกิจการรับจ้างกลึงมิลลิ่งเชื่อมเจียรซีเอ็นซีโลหะทุกชนิด,"121/32,121/33 หมู่ที่ 11  ต.บางปลา อ.บางพลี จ.สมุทรปราการ 10540"
88,0115558024339,บจ.เซ็นทรัล เอ็นจิเนียริ่ง แอนด์ แมเนจเมนท์ จำกัด,25/12/2558," 1,000,000 ",ประกอบกิจการรับจ้าง เชื่อม กลึง ตัด ไส ทับ ปั๊ม และชุบโลหะทุกชนิด,334/87 หมู่ที่ 11  ต.ราชาเทวะ อ.บางพลี จ.สมุทรปราการ 10540
89,0115558024355,บจ.ที.ดับบลิว.ที. เทคโนโลยี เวิลด์ เทค จำกัด,28/12/2558," 1,000,000 ",ประกอบกิจการออกแบบเขียนแบบผลิตประกอบอุปกรณ์ไฟฟ้า,9/108 หมู่บ้านศิรินเทพ 8 หมู่ที่ 16  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540
90,0115558023936,บจ.ชาติไธสง โมลด์ แอนด์ พาร์ท จำกัด,16/12/2558," 1,000,000 ",ให้บริการรับจ้างผลิตแม่พิมพ์และอะไหล่แม่พิมพ์ทุกประเภท,21/335 หมู่ที่ 18  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
91,0113558006479,หจ.รุ่ง คอนสตรัคชั่น,15/12/2558," 1,000,000 ",รับเหมาก่อสร้าง ออกแบบ ตกแต่ง ซ่อมแซม บ้านอาคารพาณิชย์,143/15 หมู่ที่ 12 ถนนกิ่งแก้ว  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
92,0115558024142,บจ.สยามวิศวะมิตร จำกัด,22/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง,199/218 หมู่ที่ 5  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
93,0115558023774,บจ.เค เอ็ม เทค แอนด์ คอมมูนิเคชั่น เน็ตเวิร์ค จำกัด,14/12/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง และเดินสายไฟ,70/2 หมู่บ้านปลาทองกะรัต หมู่ที่ 13 ถนนบางนา-ตราด กม.7  ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540
94,0115558023723,บจ.พีแอนด์เจ(59) คอนสตรัคชั่น จำกัด,14/12/2558," 1,000,000 ",รับเหมาก่อสร้าง,222/240 หมู่ที่ 4  ต.บางพลีใหญ่ อ.บางพลี จ.สมุทรปราการ 10540
