นิติบุคคลจัดตั้งเดือนตุลาคม  2558,,,,,,,,
ทั่วประเทศ,,,,,,,,
ลำดับ,เลขทะเบียน,ชื่อนิติบุคคล,"วันที่
จดทะเบียน"," ทุนจดทะเบียน
(บาท) ",รายละเอียดวัตถุประสงค์,ที่ตั้งสำนักงานใหญ่,,
215,0205558030052,บจ.ภักดีตระกูล ก่อสร้าง จำกัด,28/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง ต่อเติม บ้าน อาคาร ห้องชุด อาคารพาณิชย์ ที่พักอาศัย และสิ่งก่อสร้างอื่นๆ,29/13 หมู่ที่ 8  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
216,0205558030079,บจ.ภักดีตระกูล เรียล เอสเตท จำกัด,28/10/2558," 1,000,000 ",ประกอบกิจการสร้างอาคารชุดเพื่อจำหน่ายและเป็นตัวแทนซื้อ ขาย ให้เช่าอสังหาริมทรัพย์ต่างๆเช่น ที่ดิน บ้,29/13 หมู่ที่ 8  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
217,0205558030184,บจ.ไทย แอท อิต จำกัด,28/10/2558," 1,000,000 ",นำเข้าเครื่องจักรสำหรับอบสีรถยนต์ สีรถยนต์ อุปกรณ์อะไหล่และซอฟต์แวร์ที่เกี่ยวกับการติดตั้ง,3 หมู่ที่ 6  ต.โป่ง อ.บางละมุง จ.ชลบุรี 20150,,
218,0205558030214,บจ.ซัสเทน แอนด์ อะแดพท์ จำกัด,29/10/2558," 1,000,000 ",บริการเกี่ยวกับสิ่งแวดล้อม,162/238 หมู่ที่ 10  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
219,0205558030320,บจ.คอนซุล-เอ็ม จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการรับเป็นที่ปรึกษาด้านอสังหาริมทรัพย์,217/25 หมู่ที่ 12 ซอย15 ถนนเทพประสิทธิ์  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
220,0205558030362,บจ.ดอลลี่บลิ้ง168 จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการซื้อ ขาย เครื่องสำอาง ครีมบำรุงผิว และสินค้าอื่นที่เกี่ยวข้องทุกชนิด,99/349 หมู่ที่ 5  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
221,0205558030389,บจ.ซิมเพิล มายส์ จำกัด,30/10/2558," 1,000,000 ",ประกอบธุรกิจรับเป็นผู้จัดการและดูแลผลประโยชน์ เก็บผลประโยชน์และจัดการทรัพย์สินให้บุคคลอื่น,486/2 หมู่ที่ 12  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
222,0205558030397,บจ.ไทย จีน อิมพอร์ต แอนด์ เอ็กซ์ พอร์ต จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก และออกแบบ หลอดไฟ โคมไฟ เครื่องใช้ไฟฟ้า และอุปกรณ์กำเนิดพลังงานตลอดจนส่วนอื่,118/162 หมู่ที่ 11  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
223,0203558005323,หจ.ที เซอร์วิส แอนด์ ซัพพลาย,26/10/2558," 1,000,000 ",จำหน่าย เครื่องจักร เครื่องมือเครื่องใช้ อุปกรณ์ไฟฟ้าอิเลิกทอรสิกส์ อะไหล่ วัสดุสิ้นเปลือง,399/251 หมู่ที่ 2  ต.บ้านเก่า อ.พานทอง จ.ชลบุรี 20160,,
224,0205558027833,บจ.ส.สุขปิติ ดริ๊งค์กิ้งวอเทอร์ จำกัด,1/10/2558," 1,000,000 ",ประกอบกิจการผลิตและจำหน่าย น้ำดื่ม น้ำผลไม้ น้ำชา น้ำหวาน น้ำอัดลมและเครื่องดื่มทุกประเภท,40/2 หมู่ที่ 4  ต.หนองตำลึง อ.พานทอง จ.ชลบุรี 20160,,
225,0205558027957,บจ.จิเนเต้ สมาร์ท เอ็ดดูเคชั่น จำกัด,2/10/2558," 1,000,000 ",ประกอบกิจการค้าอุปกรณ์การเรียนการสอนทุกชนิด,49/1 หมู่ที่ 3  ต.หนองกะขะ อ.พานทอง จ.ชลบุรี 20160,,
226,0205558027965,บจ.บาสโก้ อินเตอร์เทรด จำกัด,2/10/2558," 1,000,000 ",ประกอบกิจการซื้อ ขาย เคมีภัณฑ์อุตสาหกรรม เคมีวิทยาศาสตร์ น้ำยา น้ำมันหล่อลื่นทุกชนิด,209/98 หมู่ที่ 10  ต.พานทอง อ.พานทอง จ.ชลบุรี 20160,,
227,0205558028376,บจ.เดอะวอล์ค  ไลฟ์สไตล์   มอลล์ จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการให้เช่าสถานที่ขายของ,99 หมู่ที่ 5  ต.หนองกะขะ อ.พานทอง จ.ชลบุรี 20160,,
228,0205558028937,บจ.วี.ที.ที.เอ็นเตอร์ไพร์ส(2015) จำกัด,13/10/2558," 1,000,000 ",ประกอบกิจการจำหน่ายชิ้นส่วนงานอุตสาหกรรมและชิ้นส่วนเครื่องจักรทุกชนิด,132/12 หมู่ที่ 1  ต.หนองหงษ์ อ.พานทอง จ.ชลบุรี 20160,,
229,0205558029135,บจ.พานทองเซ็นเตอร์กรุ๊ป จำกัด,15/10/2558," 1,000,000 ",ประกอบกิจการซื้อขายสังหาริมทรัพย์ หรืออสังหาริมทรัพย์ รวมทั้งสิทธิเหนือสังหาและอสังหาริมทรัพย์,200/33 หมู่ที่ 10  ต.พานทอง อ.พานทอง จ.ชลบุรี 20160,,
230,0205558029879,บจ.ซี.เค.เอ็น. ออโตเมชั่น แอนด์ พาร์ท จำกัด,26/10/2558," 1,000,000 ",ประกอบกิจการรับงานกลึง งานกัด งานไส งานเชื่อม งานพับ,88/351 หมู่บ้านทรัพย์รุ่งเรืองซิตี้ อมตะ-พานทอง หมู่ที่ 8  ต.บางนาง อ.พานทอง จ.ชลบุรี 20160,,
231,0205558029933,บจ.ริชแพน-เอเชีย จำกัด,26/10/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออก และจำหน่าย อุปกรณ์ไฟฟ้า วัสดุก่อสร้าง ทุกชนิด,88/279 หมู่ที่ 1  ต.หนองกะขะ อ.พานทอง จ.ชลบุรี 20160,,
232,0205558030231,บจ.มี ออโตเมชั่น แอนด์ ซัพพลาย จำกัด,29/10/2558," 1,000,000 ",ประกอบธุรกิจบริการก่อสร้างออกแบบและซ่อม เครื่องจักร เครื่องยนต์ เครื่องมือกล เครื่องทุ่นแรง ยานพาหนะ,209/74 หมู่ที่ 10  ต.พานทอง อ.พานทอง จ.ชลบุรี 20160,,
233,0205558030281,บจ.อุดมไชย เมคคานิค จำกัด,29/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง งานทุกชนิด,48/121 หมู่ที่ 8  ต.พานทอง อ.พานทอง จ.ชลบุรี 20160,,
234,0203558005064,หจ.ศักดิ์วัฒนา คอนสตรัคชั่น,7/10/2558," 1,000,000 ",รับเหมาก่อสร้าง,19/12 ซอยวิฑูรย์ดำริ 9 ถนนวิฑูรย์ดำริ  ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,,
235,0203558005072,หจ.มั่นใจ แก๊ส,7/10/2558," 1,000,000 ",โรงบรรจุก๊าซหุงต้ม (เมื่อได้รับอนุญาตจากหน่วยงานที่เกี่ยวข้องแล้ว),38/1 หมู่ที่ 5  ต.หนองบอนแดง อ.บ้านบึง จ.ชลบุรี 20170,,
236,0205558028406,บจ.ธนาธิป บิวดิ้ง คอนสตรัคชั่น จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง อาคาร ถนน สะพาน อุโมงค์ งานโยธาทุกประเภท,145 ซอยวิฑูรย์ดำริ 6 ถนนวิฑูรย์ดำริ  ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,,
237,0205558028473,บจ.มีมาก (ประเทศไทย) จำกัด,8/10/2558," 1,000,000 ",ประกอบกิจการค้า นำเข้า ส่งออก อาหารทุกชนิด,91/22 หมู่ที่ 1  ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,,
238,0205558028716,บจ.เฟรนกรุ๊ป เอ็นจิเนียริ่ง จำกัด,9/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาออกแบบ ซ่อมแซม ต่อเติม โครงสร้าง ระบบไฟฟ้า แอร์,889/51 หมู่ที่ 1  ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,,
239,0205558029747,บจ.เค เอ อินเตอร์พลาส จำกัด,22/10/2558," 1,000,000 ",นำเข้าและจำหน่ายวัสดุและอุปกรณ์ไฟฟ้า อะไหล่เครื่องจักร เครื่องมือเครื่องใช้โรงงานทุกชนิด,1000/111 หมู่ที่ 1  ต.บ้านบึง อ.บ้านบึง จ.ชลบุรี 20170,,
240,0205558029755,บจ.รุ่งเรืองวิชญ์  แอนด์ เซอร์วิส จำกัด,22/10/2558," 1,000,000 ",บริการรับจ้างทำของ และรับเหมาแรงงานทุกประเภท,686/42 หมู่ที่ 3  ต.หนองชาก อ.บ้านบึง จ.ชลบุรี 20170,,
241,0205558029992,บจ.เอ็น พี เอ็นจิเนียริ่ง แอนด์ แมชชีน จำกัด,27/10/2558," 1,000,000 ",ประกอบกิจการรับจ้างงานกลึงชิ้นส่วนอุปกรณ์เครื่องจักรทุกชนิด งานเชื่อม งานประกอบโครงสร้างเหล็ก,103/6 หมู่ที่ 2  ต.หนองซ้ำซาก อ.บ้านบึง จ.ชลบุรี 20170,,
242,0203558005013,หจ.เมโทรคอน,1/10/2558," 1,000,000 ",ประกอบกิจการจำหน่ายชิ้นส่วนอะไหล่ เครื่องจักร,123/45 หมู่ที่ 3  ต.พลูตาหลวง อ.สัตหีบ จ.ชลบุรี 20180,,
243,0203558005030,หจ.เพ็ญจรรญ์ธา,6/10/2558," 1,000,000 ",ประกอบกิจการนำเข้า ส่งออก และจำหน่ายเครื่องเขียน อุปกรณ์เกี่ยวข้องกับชุดนักเรียน,116/16 หมู่ที่ 9  ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี 20180,,
244,0203558005099,หจ.บานาน่า อินเตอร์เทรดดิ้ง,9/10/2558," 1,000,000 ",ประกอบกิจการรับซื้อ ขายฝาก ที่ดิน บ้าน คอนโดและอื่นๆ,28/196 หมู่ที่ 5  ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี 20180,,
245,0203558005421,หจ.เฮลตี้ เมดิคอล แอนด์ ซัพพลาย,28/10/2558," 1,000,000 ",ประกอบกิจการสถานพยาบาล,29/8 หมู่ที่ 5  ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี 20180,,
246,0205558028520,บจ.รินสิริ พร๊อพเพอร์ตี้ จำกัด,8/10/2558," 1,000,000 ",อสังหาริมทรัพย์,123/31 หมู่ที่ 3  ต.พลูตาหลวง อ.สัตหีบ จ.ชลบุรี 20180,,
247,0205558028554,บจ.ซิลเวอร์ ปริ๊นเซส ยอร์ช ชาร์เตอร์ แอนด์ เมเนจเม้นท์ จำกัด,8/10/2558," 1,000,000 ",ประกอบกิจการค้าและให้บริการซ่อมแซมบำรุงรักษา เรือ อะไหล่และอุปกรณ์เกี่ยวกับเรือทุกชนิด,31/77 หมู่ที่ 9  ต.สัตหีบ อ.สัตหีบ จ.ชลบุรี 20180,,
248,0205558029666,บจ.วรชัยฟาร์ม จำกัด,21/10/2558," 1,000,000 ",ประกอบกิจการเลี้ยงสัตว์,134/120 หมู่ที่ 6  ต.พลูตาหลวง อ.สัตหีบ จ.ชลบุรี 20180,,
249,0203558005331,หจ.ธนากรวัฒนารุ่งเรืองทรัพย์,26/10/2558," 1,000,000 ",ประกอบกิจการจำหน่ายไม้,233 หมู่ที่ 4  ต.หนองเสือช้าง อ.หนองใหญ่ จ.ชลบุรี 20190,,
250,0203558005200,หจ.คุณัชญ์ เอ็นจิเนียริ่ง,15/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างและงานโยธาทุกประเภท,47/47 หมู่ที่ 6  ต.บางพระ อ.ศรีราชา จ.ชลบุรี 20210,,
251,0205558027795,บจ.รุ่งสุพัตรา จำกัด,1/10/2558," 1,000,000 ",ประกอบกิจการขนส่งสินค้าและการจัดระวางขนส่งทุกชนิด,207/12 หมู่ที่ 11  ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20210,,
252,0205558028236,บจ.คิง เพาเวอร์ อิเลคทริค จำกัด,6/10/2558," 1,000,000 ",ประกอบกิจการออกแบบ ติดตั้ง ซ่อมแซม บำรุงรักษาและตรวจสอบไฟฟ้า หม้อแปลงไฟฟ้า,288/53 หมู่ที่ 11  ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20210,,
253,0205558028384,บจ.เอเอ็นพี ซัพพลาย เอ็นจิเนียริ่ง จำกัด,7/10/2558," 1,000,000 ",รับเหมาติดตั้ง ระบบน้ำ ระบบไฟฟ้า,699/72 หมู่ที่ 11  ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20210,,
254,0205558028465,บจ.บุญเลิศ ทรานสปอร์ต แอนด์ เซอร์วิส จำกัด,8/10/2558," 1,000,000 ",ประกอบกิจการรับจ้าง รับ-ส่ง พนักงาน และขนส่งโดยสารทุกชนิด,559/50 หมู่ที่ 3  ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20210,,
255,0205558029003,บจ.ต้นกล้าทอง วัสดุก่อสร้าง จำกัด,14/10/2558," 1,000,000 ",จำหน่ายปลีก ส่งและรับจัดส่งสินค้า วัสดุก่อสร้างทุกประเภท,119/1 หมู่ที่ 5  ต.บางพระ อ.ศรีราชา จ.ชลบุรี 20210,,
256,0205558029020,บจ.อินทิกรัล ซอร์ส เอนจิเนียริ่ง จำกัด,14/10/2558," 1,000,000 ",ประกอบกิจการให้บริการซ่อมแซม บำรุงรักษา เครื่องจักรอุตสาหกรรม,189/323 หมู่ที่ 1  ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20210,,
257,0205558029038,บจ.ดีโอแอล จำกัด,14/10/2558," 1,000,000 ",ประกอบกิจการค้าวิทยุสื่อสาร อินเตอร์เน็ต กล้อวงวงจรปิด คอมพิวเตอร์รวมทั้งอุปกรณ์และอะไหล่ พร้อมทั้ง,492/47 หมู่ที่ 4  ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20210,,
258,0205558030168,บจ.ฟาร์มากู๊ดส์ จำกัด,28/10/2558," 1,000,000 ",ประกอบกิจการขายส่งและขายปลีกจำหน่ายผ้าปิดจมูกและอุปกรณ์ทางการแพทย์ทุกชนิด,244/14 หมู่ที่ 11  ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20210,,
259,0203558005307,หจ.พี.พี.พี.เซอร์วิส เซ็นเตอร์,22/10/2558," 1,000,000 ",จำหน่าย ติดตั้ง ซ่อม กล้องวงจรปิด จานดาวเทียม แอร์ เครื่องใช้ไฟฟ้าทุกชนิด ทุกยี่ห้อ,683/2 หมู่ที่ 1  ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20220,,
260,0203558005439,หจ.บ่อทรายธนะทรัพย์,30/10/2558," 1,000,000 ",จำหน่ายทราย ดิน หินคลุก ทรายหยาบ,365 หมู่ที่ 4  ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20220,,
261,0205558028848,บจ.ชัยชนะ สมเกียรติ คอนสตรัคชั่น จำกัด,13/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้างอาคาร อาคารพาณิชย์ อาคารที่พักอาศัย สถานที่ทำการ ถนน สะพานเขื่อน อุโมงค์,313/8 หมู่ที่ 4  ต.หนองอิรุณ อ.บ้านบึง จ.ชลบุรี 20220,,
262,0205558030125,บจ.เจริญผลแมชชีนเนอร์รี่ 2015 จำกัด,28/10/2558," 1,000,000 ",ประกอบกิจการค้า รับผลิตประกอบออกแบบ ในงานกลึงโลหะรวมทั้งผลิตชิ้นส่วนและอุปกรณ์เครื่องจักร,111/5-6 หมู่ที่ 1  ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20220,,
263,0203558005196,หจ.สหภพ 2558,14/10/2558," 1,000,000 ",รับเหมาก่อสร้าง ถนน สะพาน และงานก่อสร้างอย่างอื่นทุกชนิดรวมทั้งรับงานโยธาทุกประเภท,260/190 หมู่ที่ 5 ถนนบึง-ไร่หนึ่ง  ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,,
264,0203558005242,หจ.เคดับเบิ้ลยูซีเอส,21/10/2558," 1,000,000 ",ประกอบกิจการให้บริการโลจิสติกส์ ธุรกิจการจัดการการส่งสินค้า และการขนส่งอื่นทุกชนิด,171/19 หมู่บ้านแพรวเฮาส์ หมู่ที่ 10  ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,,
265,0203558005293,หจ.บ้านแดนชัยภูมิ,21/10/2558," 1,000,000 ",ประกอบกิจการ จำหน่ายชิ้นส่วน อะไหล่ อุปกรณ์ ที่ใช้ในโรงงานอุตสาหกรรมทุกชนิด,325/32 หมู่ที่ 6  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
266,0203558005340,หจ.พี.เอ.ดับบลิว รุ่งเรืองทรัพย์,26/10/2558," 1,000,000 ",ประกอบกิจการจำหน่ายวัสดุสิ้นเปลืองในโรงงานทุกชนิด ทุกประเภท,123/662 หมู่ที่ 3  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,
267,0203558005366,หจ.ร่มโพธิ์ทอง คาเฟ่,26/10/2558," 1,000,000 ",ประกอบกิจการจำหน่าย กาแฟสด อาหารและเครื่องดื่ม,110/60 หมู่ที่ 2  ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,,
268,0205558027914,บจ.พีแอนด์เอ็ม เอ็นจิเนียริ่ง แอนด์ คอนสตรัคชั่น จำกัด,2/10/2558," 1,000,000 ",รับเหมาก่อสร้าง อาคารทุกชนิด รวมทั้งรับงานโยธาทุกประเภท,99/32 หมู่ที่ 3  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,
269,0205558028074,บจ.เดอะ รอยัล อินทีเกรชั่น จำกัด,5/10/2558," 1,000,000 ",ประกอบกิจการค้ากระจก อลูมิเนียม ไวนิล สแตนเลส อุปกรณ์ เครื่องมือ อะไหล่ที่เกี่ยวข้อง,283/128 หมู่ที่ 8  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
270,0205558028198,บจ.รุ่งศิลป์ ออโต้ซีทส์ จำกัด,6/10/2558," 1,000,000 ",ประกอบกิจการ ขึ้นรูปเบาะรถยนต์ รับทำเบาะรถยนต์ และจำหน่ายเบาะรถยนต์ทุกชนิด,69/141 หมู่ที่ 11  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
271,0205558028279,บจ.ทิวา เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,7/10/2558," 1,000,000 ",รับจ้างผลิต พาร์ท ชิ้นส่วน อะไหล่ รถยนต์ เครื่องจักรทุกชนิด,111/92 หมู่ที่ 7  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,
272,0205558028295,บจ.วินเฟิร์ส เทรดดิ้ง จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการชิ้ปปิ้ง นำเข้าส่งออก สินค้าและผลิตภัณฑ์ ครบวงจร,189/8 หมู่ที่ 9  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
273,0205558028309,บจ.ทาไธสง ทรานสปอร์ต จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการขนส่งและขนถ่ายสินค้า รวมถึงคนโดยสารทั้งทางบก ทางน้ำ ทางอากาศทั้งในและต่างประเทศ,254/43 หมู่ที่ 3  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,
274,0205558028325,บจ.ลาประโคน รุ่งเรือง จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการรับเหมาก่อสร้าง อาคารพาณิชย์ อาคารที่พักอาศัย และงานก่อสร้างอย่างอื่นทุกชนิด,132/33 หมู่ที่ 2  ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,,
275,0205558028350,บจ.เควินสปอร์ต อินเตอร์เทรด จำกัด,7/10/2558," 1,000,000 ",ประกอบกิจการนำเข้าส่งออกสินค้าอุปโภคบริโภคทุกชนิด,106/55 หมู่บ้านโกลเด้นเซ็นเตอร์ หมู่ที่ 9  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
276,0205558028571,บจ.เคเจ ออทัมน์ จำกัด,8/10/2558," 1,000,000 ",การซื้อ ขาย จัดจำหน่ายเครื่องมือและอุปกรณ์งานช่างทุกประเภท,339/86 หมู่ที่ 7  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,
277,0205558028601,บจ.บิวตี้ เฮลท์ตี้ แอนด์ เฮิร์บ จำกัด,8/10/2558," 1,000,000 ",ประกอบกิจการขายเครื่องสำอางค์ทางอินเตอร์เน็ต,4/222 อาคารฮาร์เบอร์มอลล์ ชั้นที่ 12 หมู่ที่ 10 ถนนสุขุมวิท  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
278,0205558028741,บจ.บูรพาไพร์ส จำกัด,9/10/2558," 1,000,000 ",ประกอบกิจการบริการรับเหมาค่าแรงงานในสถานประกอบการทุกประเภท,120/173 หมู่ที่ 3  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,
279,0205558029411,บจ.เคเอ็นเอส เบสท์ ซัพพลาย จำกัด,19/10/2558," 1,000,000 ",การขายส่งสิ่งทอเสื้อผ้ารองเท้าเครื่องหนังและของใช้ในครัวเรือนโดยได้รับค่าตอบแทน,207/43 หมู่ที่ 8  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
280,0205558029437,บจ.พวงเงินพวงทอง จำกัด,19/10/2558," 1,000,000 ",ประกอบกิจการรับเป็นที่ปรึกษา ฝึกอบรม รับจัดการธุรกิจเกี่ยวกับบริหารงานขายพัฒนาคุณภาพบุคคลกร,22/316 หมู่ที่ 4  ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,,
281,0205558029488,บจ.บูรพา สตูดิโอ จำกัด,19/10/2558," 1,000,000 ",ให้เช่าสถานที่ อุปกรณ์ เครื่องมือเครื่องใช้ในการถ่ายภาพยนตร์ รายการโทรทัศน์,271/364 หมู่ที่ 3  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,
282,0205558029623,บจ.อัลไลแอนซ์ คอนซัลแทนท์ แอนด์ เทรนนิ่ง จำกัด,20/10/2558," 1,000,000 ",ประกอบกิจการรับฝึกอบรมสัมมนา พัฒนาบุคลากรให้กับหน่วยงานของรัฐ เอกชนและบุคคลทั่วไป,777/38 หมู่ที่ 7  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
283,0205558029941,บจ.พรณัฐชา วิศวกรรม จำกัด,27/10/2558," 1,000,000 ",ประกอบกิจการ รับเหมาก่อสร้างทั่วไป,199/114 หมู่ที่ 6  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
284,0205558030001,บจ.เค เอ พี แอร์เซอร์วิส แอนด์ ซัพพลาย จำกัด,27/10/2558," 1,000,000 ",ประกอบกิจการค้าเครื่องปรับอากาศรวมทั้งอะไหล่และอุปกรณ์ ตลอดจนรับบริการบำรุงรักษา,250/276 หมู่ที่ 3  ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20230,,
285,0205558030192,บจ.โอ.ที.อาร์.นาโน เทค จำกัด,29/10/2558," 1,000,000 ",ประกอบกิจการตัวแทนจำหน่ายสินค้าเพื่อการอุปโภคบริโภคทุกชนิด,141/16 หมู่ที่ 2  ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,,
286,0205558030265,บจ.สยามพรรณ คอนสตรัคชั่น แอนด์ ซัพพลาย จำกัด,29/10/2558," 1,000,000 ",ประกอบกิจการรับสร้างบ้าน ต่อเติม บำรุงรักษา รับจ้างทาสีภายนอก ภายในอาคาร,233/36 หมู่ที่ 6  ต.ทุ่งสุขลา อ.ศรีราชา จ.ชลบุรี 20230,,
287,0203558005234,หจ.เอ็ม เอ็น ขนส่ง,19/10/2558," 1,000,000 ",ประกอบกิจการขนส่งสินค้า ทั้งทางบก ทางน้ำ ทางอากาศ ทั้งภายในประเทศและระหว่างประเทศ,93/2 หมู่ที่ 1  ต.เกาะจันทร์ อ.เกาะจันทร์ จ.ชลบุรี 20240,,
288,0205558030371,บจ.อีสต์ เซนทรัล โซลิด เวสต์ จำกัด,30/10/2558," 1,000,000 ",ประกอบกิจการรับจ้างกำจัดขยะมูลฝอย ขยะอุตสาหกรรม ตลอดทั้งกำจัดสิ่งปฏิกูลทุกชนิด,333 หมู่ที่ 7  ต.ท่าบุญมี อ.เกาะจันทร์ จ.ชลบุรี 20240,,
289,0203558005315,หจ.ระฆังเงิน 639,22/10/2558," 1,000,000 ",ประกอบกิจการรับเป็นที่ปรึกษา รับอบรม ให้คำแนะนำ ส่งเสริมการขาย,224/49 หมู่ที่ 8  ต.บางเสร่ อ.สัตหีบ จ.ชลบุรี 20250,,
290,0205558028953,บจ.แจ็กซั่น โฟร์ จำกัด,13/10/2558," 1,000,000 ",จำหน่ายอาหารและเครื่องดื่มทุกชนิด,5/22 หมู่ที่ 2  ต.นาจอมเทียน อ.สัตหีบ จ.ชลบุรี 20250,,
291,0205558029895,บจ.ลูโซเนีย จำกัด,26/10/2558," 1,000,000 ",ประกอบกิจการซื้อขาย ให้เช่าอสังหาริมทรัพย์,150/168 (น้ำทะเล คอนโดมิเนียม) หมู่ที่ 1  ต.นาจอมเทียน อ.สัตหีบ จ.ชลบุรี 20250,,
292,0203558005277,หจ.ป.เกียรติกุล,21/10/2558," 1,000,000 ",รับเหมาก่อสร้าง อาคาร บ้าน สำนักงาน โรงงาน และสถานที่ราชการต่างๆ ทุกประเภท ทุกชนิด,61/1 หมู่ที่ 5  ต.วัดสุวรรณ อ.บ่อทอง จ.ชลบุรี 20270,,
293,0205558029348,บจ.ธัญญกิจจ์ ฟู้ด จำกัด,16/10/2558," 1,000,000 ",ประกอบกิจการค้า นำเข้า-ส่งออก พืชผลทางการเกษตร ทุกชนิด,51 หมู่ที่ 7  ต.พลวงทอง อ.บ่อทอง จ.ชลบุรี 20270,,
294,0203558005161,หจ.ไลออนส์ เกท ดีไซน์ (ประเทศไทย),13/10/2558," 900,000 ",ออกแบบตกแต่งภายใน ออกแบบผลิตภัณฑ์,482/14 หมู่ที่ 10  ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,,
295,0203558005048,หจ.ชลธี รุ่งโรจน์,6/10/2558," 800,000 ",ให้บริการเรือสปีดโบท,177/46 หมู่ที่ 10  ต.บึง อ.ศรีราชา จ.ชลบุรี 20230,,
296,0203558005145,หจ.ฟีลปริ้นซ์,12/10/2558," 600,000 ",ประกอบกิจการขายวัสดุสิงพิมพ์ ปลึกและส่ง,91/30 หมู่ที่ 12  ต.นาป่า อ.เมืองชลบุรี จ.ชลบุรี 20000,,
297,0203558005188,หจ.บีเคพี เซอร์วิส แอนด์ ซัพพลาย,14/10/2558," 600,000 ",จำหน่ายอุปกรณ์ อะไหล่ และวัสดุสิ้นเปลืองทั่วไปใช้ในโรงงานอุตสาหกรรม,21/5 หมู่ที่ 4  ต.บ้านเก่า อ.พานทอง จ.ชลบุรี 20160,,
